episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-7391.5,53,148,0.00,0,11.97,0.990
2,-597.6,5,12,0.00,0,13.43,0.980
3,-3947.1,26,79,0.00,0,13.16,0.970
4,-6689.0,48,134,0.00,0,11.78,0.961
5,-1047.0,10,21,0.00,0,13.22,0.951
6,-549.7,4,11,0.00,0,13.73,0.941
7,-5149.9,36,103,0.00,0,13.31,0.932
8,-4301.6,31,86,0.00,0,13.56,0.923
9,-548.7,3,11,0.00,0,13.66,0.914
10,-3148.6,26,63,0.00,0,13.15,0.904
11,-400.0,2,8,0.00,0,13.83,0.895
12,-14506.2,100,290,0.00,1,13.23,0.886
13,-648.2,4,13,0.00,0,13.56,0.878
14,-2199.1,14,44,0.00,0,13.57,0.869
15,-1450.3,10,29,0.00,0,13.73,0.860
16,-494.9,4,10,0.00,0,13.12,0.851
17,-2448.2,20,49,0.00,0,13.22,0.843
18,-1897.2,12,38,0.00,0,13.36,0.835
19,-11860.3,100,238,0.00,1,8.12,0.826
20,-494.2,4,10,0.00,0,13.03,0.818
21,-799.0,5,16,0.00,0,13.66,0.810
22,-2796.7,20,56,0.00,0,13.12,0.802
23,-769.7,36,96,0.25,0,10.21,0.794
24,-1496.0,11,30,0.00,0,13.15,0.786
25,-5596.6,75,193,0.25,0,8.28,0.778
26,-1993.3,16,40,0.00,0,12.69,0.770
27,-8725.9,58,175,0.00,0,11.15,0.762
28,487.8,35,71,0.25,0,9.45,0.755
29,-7052.1,76,222,0.25,0,10.92,0.747
30,-9872.0,100,200,0.00,1,9.03,0.740
31,-1867.8,48,118,0.25,0,10.12,0.732
32,-6393.2,83,210,0.25,0,8.35,0.725
33,-1398.6,39,109,0.25,0,10.68,0.718
34,-4461.4,58,170,0.25,0,9.41,0.711
35,-1356.2,48,108,0.25,0,9.14,0.703
36,-6595.9,85,213,0.25,0,6.59,0.696
37,-369.1,34,88,0.25,0,10.38,0.689
38,-2520.0,47,131,0.25,0,10.71,0.683
39,-1255.2,37,106,0.25,0,10.03,0.676
40,-524.8,31,91,0.25,0,11.36,0.669
41,-14450.1,100,290,0.00,1,7.98,0.662
42,-2045.7,17,41,0.00,0,12.96,0.656
43,-2100.6,42,123,0.25,0,10.03,0.649
44,40826.3,53,105,0.50,0,6.71,0.643
45,-2194.4,14,44,0.00,0,12.98,0.636
46,-1067.7,37,102,0.25,0,10.06,0.630
47,-1675.5,40,114,0.25,0,10.98,0.624
48,308.4,38,75,0.25,0,8.23,0.617
49,540.1,25,70,0.25,0,10.35,0.611
50,640.5,27,68,0.25,0,9.92,0.605
51,-513.3,35,91,0.25,0,9.59,0.599
52,73650.3,86,169,0.50,0,6.27,0.593
53,-840.3,7,17,0.00,0,12.48,0.587
54,6717.2,34,67,0.25,0,7.48,0.581
55,282.5,28,75,0.25,0,9.97,0.575
56,-4292.2,57,167,0.25,0,9.90,0.570
57,-7852.3,86,238,0.25,0,8.05,0.564
58,6377.8,34,34,0.50,0,5.09,0.558
59,88909.8,74,144,0.50,0,6.05,0.553
60,179192.1,100,100,0.50,1,3.83,0.547
61,-4113.8,66,164,0.25,0,5.97,0.542
62,-2744.5,18,55,0.00,0,12.94,0.536
63,1700.3,24,47,0.25,0,7.94,0.531
64,-1236.6,40,106,0.25,0,7.97,0.526
65,197733.4,88,88,0.75,0,3.35,0.520
66,832.3,23,64,0.25,0,10.74,0.515
67,151038.2,100,181,0.25,1,5.18,0.510
68,9081.7,32,60,0.50,0,7.16,0.505
69,10135.6,30,39,0.50,0,5.96,0.500
70,100438.3,76,153,0.25,0,7.86,0.495
71,-4581.6,30,92,0.00,0,11.18,0.490
72,490.8,27,71,0.25,0,9.81,0.485
73,88132.2,61,119,0.50,0,6.84,0.480
74,1494.6,24,51,0.25,0,9.08,0.475
75,95.3,29,79,0.25,0,8.68,0.471
76,86136.0,36,0,1.00,0,0.00,0.466
77,-795.5,5,16,0.00,0,13.21,0.461
78,31762.7,28,46,0.50,0,7.13,0.457
79,76458.7,51,73,0.50,0,3.69,0.452
80,-2269.6,20,46,0.00,0,9.85,0.448
81,1276.4,20,55,0.25,0,10.91,0.443
82,-3436.4,23,69,0.00,0,11.84,0.439
83,45677.6,46,88,0.50,0,6.05,0.434
84,-811.9,33,97,0.25,0,10.15,0.430
85,50530.6,38,71,0.50,0,7.02,0.426
86,6524.7,36,71,0.50,0,7.78,0.421
87,-3196.2,60,146,0.25,0,4.63,0.417
88,-2242.7,15,45,0.00,0,12.73,0.413
89,26047.7,44,81,0.50,0,6.96,0.409
90,-1487.5,40,111,0.25,0,9.05,0.405
91,-5812.8,43,117,0.00,0,9.28,0.401
92,15164.6,29,58,0.25,0,7.73,0.397
93,69449.3,48,53,0.50,0,3.83,0.393
94,1376.6,28,54,0.25,0,6.78,0.389
95,24919.4,32,63,0.50,0,8.00,0.385
96,35991.3,44,82,0.50,0,4.65,0.381
97,117665.0,49,49,0.75,0,3.35,0.377
98,17871.4,26,44,0.50,0,7.13,0.373
99,-2184.3,48,125,0.25,0,7.18,0.370
100,22628.1,38,69,0.50,0,4.97,0.366
