Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-15.4	4	14	0.00	False
2	-10.4	3	10	0.00	False
3	-55.6	16	46	0.00	False
4	-17.0	5	15	0.00	False
5	-34.6	10	27	0.00	False
6	-74.0	21	64	0.00	False
7	-17.6	5	17	0.00	False
8	-13.8	4	12	0.00	False
9	-15.4	5	13	0.00	False
10	-11.2	3	11	0.00	False
11	-24.4	7	21	0.00	False
12	-65.2	22	52	0.00	False
13	-19.8	6	15	0.00	False
14	-106.4	31	87	0.00	False
15	-17.0	5	15	0.00	False
16	-22.2	7	17	0.00	False
17	-13.6	4	13	0.00	False
18	-61.4	18	50	0.00	False
19	-13.8	4	12	0.00	False
20	-19.4	6	17	0.00	False
21	-41.6	12	35	0.00	False
22	-21.2	6	18	0.00	False
23	-42.6	14	33	0.00	False
24	-113.4	36	92	0.00	False
25	-27.8	8	23	0.00	False
26	-454.8	143	318	0.00	False
27	-139.2	42	107	0.00	False
28	-25.6	9	18	0.00	False
29	-447.8	127	379	0.00	False
30	-30.0	9	26	0.00	False
31	-51.6	17	40	0.00	False
32	-175.2	53	146	0.00	False
33	-19.4	6	17	0.00	False
34	-73.0	21	64	0.00	False
35	-75.4	23	60	0.00	False
36	-45.0	13	37	0.00	False
37	-416.4	119	359	0.00	False
38	-87.2	29	65	0.00	False
39	-74.4	22	66	0.00	False
40	-21.2	7	17	0.00	False
41	-72.0	21	64	0.00	False
42	3762.8	72	200	0.25	False
43	-985.4	308	750	0.00	False
44	-48.4	15	38	0.00	False
45	-30.6	9	28	0.00	False
46	3687.6	94	267	0.25	False
47	-144.2	42	127	0.00	False
48	-178.2	55	139	0.00	False
49	-371.0	107	318	0.00	False
50	-86.6	27	75	0.00	False
51	-167.6	49	148	0.00	False
52	-18.4	6	17	0.00	False
53	-222.2	73	161	0.00	False
54	2985.0	317	806	0.25	False
55	-17.8	6	15	0.00	False
56	-25.4	7	21	0.00	False
57	-232.0	70	200	0.00	False
58	3642.8	103	309	0.25	False
59	-11.2	3	11	0.00	False
60	-169.4	51	147	0.00	False
61	-22.0	7	18	0.00	False
62	3363.8	186	556	0.25	False
63	3835.4	55	130	0.25	False
64	3788.4	67	178	0.25	False
65	-82.2	32	62	0.00	False
66	-96.2	28	86	0.00	False
67	-82.4	24	74	0.00	False
68	-17.0	5	15	0.00	False
69	-12.0	4	11	0.00	False
70	-172.0	59	116	0.00	False
71	3552.2	138	366	0.25	False
72	3629.0	110	328	0.25	False
73	-27.0	8	22	0.00	False
74	-19.2	6	18	0.00	False
75	3220.8	230	682	0.25	False
76	-933.8	279	817	0.00	False
77	-280.0	81	244	0.00	False
78	-90.4	28	80	0.00	False
79	-135.2	48	106	0.00	False
80	-162.4	54	134	0.00	False
81	3789.4	69	171	0.25	False
82	-115.2	39	90	0.00	False
83	-11.2	3	11	0.00	False
84	3701.4	90	265	0.25	False
85	-57.0	21	39	0.00	False
86	-247.4	86	197	0.00	False
87	-366.2	110	324	0.00	False
88	-106.4	32	96	0.00	False
89	49828.4	66	131	0.25	False
90	-108.0	35	95	0.00	False
91	-26.4	9	24	0.00	False
92	-32.8	11	30	0.00	False
93	3433.8	174	498	0.25	False
