Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-125.0	41	84	0.00	False
2	-23.6	7	20	0.00	False
3	3701.2	85	249	0.25	False
4	-17.6	5	17	0.00	False
5	-118.2	34	100	0.00	False
6	-17.6	5	17	0.00	False
7	-127.2	36	108	0.00	False
8	-250.6	71	211	0.00	False
9	-17.6	5	17	0.00	False
10	-24.6	7	20	0.00	False
11	-19.4	6	17	0.00	False
12	-22.6	7	20	0.00	False
13	-16.8	5	16	0.00	False
14	-31.8	9	27	0.00	False
15	-34.8	10	31	0.00	False
16	-686.4	192	571	0.00	False
17	-17.0	5	15	0.00	False
18	-40.0	12	33	0.00	False
19	-62.2	19	50	0.00	False
20	-20.2	6	18	0.00	False
21	-17.2	5	14	0.00	False
22	-254.0	73	202	0.00	False
23	-41.6	13	34	0.00	False
24	-116.6	33	99	0.00	False
25	-10.4	3	10	0.00	False
26	-11.2	3	11	0.00	False
27	-14.6	4	13	0.00	False
28	-25.4	8	20	0.00	False
29	-19.6	6	16	0.00	False
30	-53.6	16	46	0.00	False
31	-35.6	10	32	0.00	False
32	-13.6	4	13	0.00	False
33	-32.8	10	26	0.00	False
34	-26.8	8	23	0.00	False
35	-23.6	7	20	0.00	False
36	-27.8	8	23	0.00	False
37	-117.8	34	102	0.00	False
38	-13.6	4	13	0.00	False
39	-43.2	13	36	0.00	False
40	-62.0	18	52	0.00	False
41	-90.2	26	68	0.00	False
42	-35.4	11	27	0.00	False
43	-13.0	4	11	0.00	False
44	-18.4	6	17	0.00	False
45	-52.8	15	46	0.00	False
46	-13.0	4	11	0.00	False
47	-8.0	2	8	0.00	False
48	-10.4	3	10	0.00	False
49	-66.8	20	56	0.00	False
50	-30.8	10	26	0.00	False
51	-12.0	4	11	0.00	False
52	-13.6	4	13	0.00	False
53	-35.8	10	31	0.00	False
54	-19.4	6	17	0.00	False
55	-52.6	16	41	0.00	False
56	-52.6	15	47	0.00	False
57	-16.8	5	16	0.00	False
58	-10.4	3	10	0.00	False
59	-8.0	2	8	0.00	False
60	-98.6	31	71	0.00	False
61	-22.6	7	20	0.00	False
62	-146.6	42	125	0.00	False
63	-11.2	3	11	0.00	False
64	-14.4	4	14	0.00	False
65	-12.8	4	12	0.00	False
66	-29.2	9	25	0.00	False
67	-20.8	6	20	0.00	False
68	-108.8	34	82	0.00	False
69	-39.8	11	35	0.00	False
70	-8.0	2	8	0.00	False
71	-10.4	3	10	0.00	False
72	-13.6	4	13	0.00	False
73	-122.0	35	105	0.00	False
74	-8.0	2	8	0.00	False
75	-17.0	5	15	0.00	False
76	-24.8	8	23	0.00	False
77	-17.0	5	15	0.00	False
78	-13.8	4	12	0.00	False
79	-11.2	3	11	0.00	False
80	-24.2	8	21	0.00	False
81	-79.8	24	72	0.00	False
82	-83.4	23	70	0.00	False
83	-12.2	4	10	0.00	False
84	-25.4	7	21	0.00	False
85	-26.6	8	19	0.00	False
86	-14.4	4	14	0.00	False
87	-13.6	4	13	0.00	False
88	-16.8	5	16	0.00	False
89	-49.4	15	38	0.00	False
90	-61.6	18	49	0.00	False
91	-66.8	19	57	0.00	False
92	-14.4	5	13	0.00	False
93	-30.6	9	28	0.00	False
94	-11.2	3	11	0.00	False
95	-20.2	7	17	0.00	False
96	-12.0	4	11	0.00	False
97	-70.8	20	61	0.00	False
98	-38.2	11	33	0.00	False
99	-35.8	10	31	0.00	False
100	-21.8	6	20	0.00	False
101	-175.4	49	149	0.00	False
102	-17.2	6	13	0.00	False
103	-16.8	5	16	0.00	False
104	-11.2	3	11	0.00	False
105	-65.2	18	56	0.00	False
106	-74.2	24	60	0.00	False
107	-76.4	23	65	0.00	False
108	-66.2	20	59	0.00	False
109	-316.6	89	268	0.00	False
110	-34.8	11	25	0.00	False
111	-15.2	5	14	0.00	False
112	-13.6	4	13	0.00	False
113	-30.6	10	27	0.00	False
114	-18.6	6	16	0.00	False
115	-75.0	23	62	0.00	False
116	-27.6	8	24	0.00	False
117	-19.2	6	18	0.00	False
118	-26.0	7	23	0.00	False
119	-52.6	18	44	0.00	False
120	-20.8	6	20	0.00	False
121	-11.2	3	11	0.00	False
122	-18.6	5	17	0.00	False
123	-25.2	7	22	0.00	False
124	-60.0	19	46	0.00	False
125	-280.0	79	236	0.00	False
126	-12.8	4	12	0.00	False
127	-34.8	12	29	0.00	False
128	-8.0	2	8	0.00	False
129	-49.8	15	41	0.00	False
130	-13.6	4	13	0.00	False
131	-14.4	4	14	0.00	False
132	-17.0	5	15	0.00	False
133	-67.0	19	56	0.00	False
134	-23.4	7	21	0.00	False
135	-26.4	8	25	0.00	False
136	-10.4	3	10	0.00	False
137	-171.4	52	131	0.00	False
138	-73.4	22	61	0.00	False
139	-10.4	3	10	0.00	False
140	-51.0	16	39	0.00	False
141	-11.2	3	11	0.00	False
142	-13.6	4	13	0.00	False
143	-13.6	4	13	0.00	False
144	-45.6	14	43	0.00	False
145	-8.0	2	8	0.00	False
146	-75.8	22	59	0.00	False
147	-43.0	12	38	0.00	False
148	-29.0	9	21	0.00	False
149	-21.0	6	19	0.00	False
150	-13.6	4	13	0.00	False
151	-11.2	3	11	0.00	False
152	-16.8	5	16	0.00	False
153	-25.0	8	22	0.00	False
154	-16.8	5	16	0.00	False
155	-26.0	8	22	0.00	False
156	-37.4	12	31	0.00	False
157	-48.6	16	36	0.00	False
158	-8.0	2	8	0.00	False
159	-94.4	30	73	0.00	False
160	-39.2	11	33	0.00	False
161	-12.8	4	12	0.00	False
162	-56.6	17	50	0.00	False
163	-30.2	10	24	0.00	False
164	-37.2	11	33	0.00	False
165	-22.8	7	19	0.00	False
166	-8.0	2	8	0.00	False
167	-55.2	16	48	0.00	False
168	-23.6	7	20	0.00	False
169	-132.0	38	112	0.00	False
170	-42.6	12	35	0.00	False
171	-39.8	11	35	0.00	False
172	-35.2	11	28	0.00	False
173	-11.2	3	11	0.00	False
174	-51.4	14	44	0.00	False
175	-13.6	4	13	0.00	False
176	-16.2	5	14	0.00	False
177	-705.0	201	554	0.00	False
178	-628.2	176	528	0.00	False
179	-8.0	2	8	0.00	False
180	-21.8	6	20	0.00	False
181	-15.8	5	11	0.00	False
182	-19.0	6	14	0.00	False
183	-16.8	5	16	0.00	False
184	-27.4	8	25	0.00	False
185	-39.8	12	34	0.00	False
186	-67.6	19	58	0.00	False
187	-66.4	22	51	0.00	False
188	-47.0	15	35	0.00	False
189	-36.6	11	31	0.00	False
190	-68.0	20	55	0.00	False
191	-21.0	7	18	0.00	False
192	-24.2	7	22	0.00	False
193	-21.8	7	19	0.00	False
194	-65.2	19	55	0.00	False
195	-12.2	4	10	0.00	False
196	-31.4	10	28	0.00	False
197	-85.4	25	73	0.00	False
198	-11.2	3	11	0.00	False
199	-11.2	3	11	0.00	False
200	-17.6	5	17	0.00	False
201	-10.4	3	10	0.00	False
202	-84.4	26	67	0.00	False
203	-65.8	20	51	0.00	False
204	-12.8	4	12	0.00	False
205	-23.4	7	21	0.00	False
206	-25.0	7	23	0.00	False
207	-20.2	6	18	0.00	False
208	-58.0	17	53	0.00	False
209	-13.6	4	13	0.00	False
210	-168.0	51	129	0.00	False
211	-147.6	46	106	0.00	False
212	-20.0	6	19	0.00	False
213	-20.0	6	19	0.00	False
214	-11.2	4	10	0.00	False
215	-41.4	12	36	0.00	False
216	-57.0	18	47	0.00	False
217	-71.6	21	61	0.00	False
218	-15.4	4	14	0.00	False
219	-259.4	75	213	0.00	False
220	-18.6	5	17	0.00	False
221	-78.4	23	65	0.00	False
222	-20.2	6	18	0.00	False
223	-17.8	5	16	0.00	False
224	-239.0	67	203	0.00	False
225	-18.6	5	17	0.00	False
226	-10.4	3	10	0.00	False
227	-24.4	7	21	0.00	False
228	-12.0	4	11	0.00	False
229	-32.0	10	25	0.00	False
230	-8.0	2	8	0.00	False
231	-26.8	9	22	0.00	False
232	-10.4	3	10	0.00	False
233	-60.6	19	48	0.00	False
234	-45.6	15	32	0.00	False
235	-240.0	66	199	0.00	False
236	-137.0	39	116	0.00	False
237	-11.2	3	11	0.00	False
238	-92.6	28	69	0.00	False
239	-34.4	12	26	0.00	False
240	-156.2	45	134	0.00	False
241	-76.6	23	59	0.00	False
242	-19.6	6	16	0.00	False
243	-44.0	13	37	0.00	False
244	-28.4	8	25	0.00	False
245	-30.2	9	25	0.00	False
246	-21.0	7	18	0.00	False
247	-81.8	24	67	0.00	False
248	-17.6	5	17	0.00	False
249	-41.6	12	35	0.00	False
250	-21.8	7	19	0.00	False
251	-91.8	26	80	0.00	False
252	-24.0	7	23	0.00	False
253	-31.8	10	26	0.00	False
254	-15.4	4	14	0.00	False
255	-28.6	9	23	0.00	False
256	-17.8	5	16	0.00	False
257	-14.6	4	13	0.00	False
258	-30.0	9	26	0.00	False
259	-40.8	11	35	0.00	False
260	-14.6	5	12	0.00	False
261	-18.4	6	17	0.00	False
262	-77.8	23	63	0.00	False
263	-113.0	33	92	0.00	False
264	-56.8	18	43	0.00	False
265	-24.2	7	22	0.00	False
266	-11.2	3	11	0.00	False
267	-40.4	13	30	0.00	False
268	-38.8	12	34	0.00	False
269	-31.2	9	25	0.00	False
270	-54.4	16	47	0.00	False
271	-96.2	34	55	0.00	False
272	-31.0	10	25	0.00	False
273	-53.8	16	45	0.00	False
274	-29.4	8	25	0.00	False
275	-32.4	10	28	0.00	False
276	-117.6	33	99	0.00	False
277	-28.2	8	26	0.00	False
278	-58.4	20	48	0.00	False
279	-24.4	7	21	0.00	False
280	-27.6	8	24	0.00	False
281	-97.4	27	81	0.00	False
282	-14.4	4	14	0.00	False
283	-135.8	41	105	0.00	False
284	2826.0	332	976	0.25	False
285	-11.2	3	11	0.00	False
286	-29.2	9	25	0.00	False
287	-254.4	75	213	0.00	False
288	-17.2	5	14	0.00	False
289	-61.0	17	53	0.00	False
290	-19.2	6	18	0.00	False
291	-59.4	17	51	0.00	False
292	-22.4	7	21	0.00	False
293	-12.2	4	10	0.00	False
294	-41.8	13	38	0.00	False
295	-17.8	5	16	0.00	False
