episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-8295.3,56,166,0.00,0,25.56,0.990
2,-646.5,5,13,0.00,0,26.35,0.980
3,-847.9,6,17,0.00,0,26.52,0.970
4,-6098.2,50,122,0.00,0,25.67,0.961
5,-1449.3,9,29,0.00,0,26.70,0.951
6,-1897.3,13,38,0.00,0,26.35,0.941
7,-6797.9,45,136,0.00,0,26.05,0.932
8,-950.5,6,19,0.00,0,26.87,0.923
9,-3300.3,24,66,0.00,0,26.53,0.914
10,-1247.4,10,25,0.00,0,26.35,0.904
11,-5593.4,37,112,0.00,0,25.60,0.895
12,-2643.8,17,53,0.00,0,25.91,0.886
13,-1149.1,7,23,0.00,0,26.70,0.878
14,-3990.9,27,80,0.00,0,25.39,0.869
15,-847.6,5,17,0.00,0,26.53,0.860
16,-5037.3,35,101,0.00,0,24.80,0.851
17,-1398.1,9,28,0.00,0,26.53,0.843
18,-798.1,6,16,0.00,0,26.53,0.835
19,-548.7,3,11,0.00,0,26.70,0.826
20,-2298.6,15,46,0.00,0,26.52,0.818
21,-11292.5,76,226,0.00,0,24.96,0.810
22,-1149.1,7,23,0.00,0,26.70,0.802
23,-3887.9,30,78,0.00,0,24.83,0.794
24,-9613.1,100,193,0.00,0,19.67,0.786
25,-847.6,5,17,0.00,0,26.53,0.778
26,-3634.7,26,73,0.00,0,24.58,0.770
27,-1095.1,7,22,0.00,0,26.19,0.762
28,-746.4,5,15,0.00,0,26.35,0.755
29,-692.7,6,14,0.00,0,25.83,0.747
30,-850.3,5,17,0.00,0,26.87,0.740
31,-10450.5,77,210,0.00,0,19.64,0.732
32,56388.8,116,155,0.25,0,8.22,0.725
33,-1888.1,17,38,0.00,0,25.01,0.718
34,-20312.4,200,409,0.00,0,8.72,0.711
35,-10225.7,101,206,0.00,0,16.59,0.703
36,-14197.9,95,285,0.00,0,20.23,0.696
37,-5386.6,59,109,0.00,0,17.36,0.689
38,-13942.8,93,280,0.00,0,20.73,0.683
39,-697.8,5,14,0.00,0,26.52,0.676
40,-1645.6,11,33,0.00,0,26.18,0.669
41,-5883.5,44,118,0.00,0,24.08,0.662
42,19045.9,111,221,0.25,0,14.01,0.656
43,-4105.0,42,83,0.00,0,20.18,0.649
44,-700.2,4,14,0.00,0,26.87,0.643
45,87768.6,124,247,0.50,0,13.26,0.636
46,-11054.7,76,222,0.00,0,20.55,0.630
47,-13187.9,91,265,0.00,0,19.98,0.624
48,-14635.1,119,295,0.00,0,14.01,0.617
49,-9497.4,70,191,0.00,0,19.89,0.611
50,-1787.8,17,36,0.00,0,24.94,0.605
51,-9245.5,67,186,0.00,0,19.87,0.599
52,-10599.7,72,213,0.00,0,20.30,0.593
53,-848.9,5,17,0.00,0,26.70,0.587
54,-7621.7,118,235,0.25,0,9.91,0.581
55,-4234.9,56,86,0.00,0,17.01,0.575
56,-11561.1,77,232,0.00,0,21.10,0.570
57,-4255.5,41,86,0.00,0,20.33,0.564
58,-3610.1,35,73,0.00,0,21.04,0.558
59,-2688.8,42,55,0.00,0,17.81,0.553
60,34644.5,97,150,0.50,0,9.22,0.547
61,-8509.1,60,171,0.00,0,20.90,0.542
62,-7281.2,83,148,0.00,0,13.52,0.536
63,-12958.7,92,260,0.00,0,20.36,0.531
64,-9600.3,65,193,0.00,0,20.48,0.526
65,60722.1,88,109,0.25,0,7.53,0.520
66,8439.8,76,153,0.25,0,15.76,0.515
67,-11650.3,78,234,0.00,0,20.30,0.510
68,-9535.9,85,193,0.00,0,15.11,0.505
69,-3500.5,35,71,0.00,0,19.82,0.500
70,-7809.6,65,158,0.00,0,15.58,0.495
71,-7045.5,58,142,0.00,0,18.93,0.490
72,12791.3,92,147,0.25,0,9.62,0.485
73,-6608.9,70,134,0.00,0,13.69,0.480
74,-1235.6,12,25,0.00,0,24.78,0.475
75,-15988.2,108,321,0.00,0,20.23,0.471
76,-8452.9,57,170,0.00,0,20.53,0.466
77,-9680.1,75,195,0.00,0,17.79,0.461
78,-2633.6,67,135,0.25,0,13.34,0.457
79,-6510.0,46,131,0.00,0,21.21,0.452
80,-2907.6,25,59,0.00,0,21.06,0.448
81,-9697.0,68,195,0.00,0,20.13,0.443
82,2095.6,66,81,0.25,0,9.10,0.439
