episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1294.1,9,26,0.00,0,12.97,0.997
2,-6500.1,43,130,0.00,0,13.32,0.994
3,-848.9,5,17,0.00,0,13.66,0.991
4,-498.8,3,10,0.00,0,13.66,0.988
5,-698.8,5,14,0.00,0,13.61,0.985
6,-10678.3,74,214,0.00,0,13.18,0.982
7,-1097.1,7,22,0.00,0,13.39,0.979
8,-1949.1,14,39,0.00,0,13.51,0.976
9,-1446.9,11,29,0.00,0,13.26,0.973
10,-846.6,6,17,0.00,0,13.32,0.970
11,-1696.6,13,34,0.00,0,13.18,0.967
12,-2144.7,15,43,0.00,0,12.95,0.965
13,-400.0,2,8,0.00,0,13.83,0.962
14,-548.3,3,11,0.00,0,13.61,0.959
15,-5293.0,38,106,0.00,0,12.39,0.956
16,-899.2,6,18,0.00,0,13.65,0.953
17,-850.3,5,17,0.00,0,13.83,0.950
18,-4680.5,31,94,0.00,0,11.15,0.947
19,-448.1,3,9,0.00,0,13.56,0.945
20,-647.2,4,13,0.00,0,13.44,0.942
21,-1549.1,10,31,0.00,0,13.61,0.939
22,-4999.1,35,100,0.00,0,13.21,0.936
23,-2794.5,20,56,0.00,0,12.98,0.933
24,-1446.2,13,29,0.00,0,13.07,0.930
25,-697.8,5,14,0.00,0,13.48,0.928
26,-1498.4,10,30,0.00,0,13.51,0.925
27,-600.4,4,12,0.00,0,13.83,0.922
28,-1144.2,10,23,0.00,0,12.89,0.919
29,-742.9,7,15,0.00,0,12.78,0.917
30,-400.0,2,8,0.00,0,13.83,0.914
31,-599.0,4,12,0.00,0,13.66,0.911
32,-795.8,5,16,0.00,0,13.26,0.908
33,-2048.5,13,41,0.00,0,13.51,0.906
34,-1245.5,9,25,0.00,0,13.14,0.903
35,-1097.4,7,22,0.00,0,13.43,0.900
36,-2046.6,24,41,0.00,0,12.72,0.897
37,-800.4,5,16,0.00,0,13.83,0.895
38,-37359.6,273,751,0.00,0,11.00,0.892
39,-10633.6,99,294,0.25,0,9.86,0.889
40,-648.9,4,13,0.00,0,13.65,0.887
41,-548.3,3,11,0.00,0,13.61,0.884
42,-648.9,4,13,0.00,0,13.66,0.881
43,-11074.1,107,303,0.25,0,10.65,0.879
44,-11550.0,111,313,0.25,0,8.31,0.876
45,-3607.6,53,153,0.25,0,10.14,0.874
46,-1692.0,14,34,0.00,0,12.56,0.871
47,-7562.4,80,232,0.25,0,8.96,0.868
48,-5481.8,38,110,0.00,0,11.82,0.866
49,-809.5,38,97,0.25,0,9.60,0.863
50,-8094.1,81,243,0.25,0,11.36,0.861
51,-9738.1,65,195,0.00,0,11.53,0.858
52,295640.6,205,409,0.25,0,6.69,0.855
53,-9396.2,63,188,0.00,0,12.73,0.853
54,-2846.4,20,57,0.00,0,13.09,0.850
55,-1598.6,11,32,0.00,0,13.51,0.848
56,-2032.8,18,41,0.00,0,11.30,0.845
57,-1296.0,9,26,0.00,0,13.20,0.843
58,-11705.2,106,316,0.25,0,11.36,0.840
59,-8394.7,57,168,0.00,0,12.64,0.838
60,-2948.1,19,59,0.00,0,13.38,0.835
61,-3692.8,25,74,0.00,0,12.61,0.833
62,-30808.9,223,619,0.00,0,8.52,0.830
63,-599.6,4,12,0.00,0,13.73,0.828
64,-11039.4,114,302,0.25,0,8.35,0.825
65,-2445.5,19,49,0.00,0,12.93,0.823
66,-982.0,12,20,0.00,0,11.23,0.820
67,-1496.1,10,30,0.00,0,13.21,0.818
68,-4206.7,56,165,0.25,0,11.25,0.815
69,-950.5,6,19,0.00,0,13.83,0.813
70,-1397.3,10,28,0.00,0,13.34,0.810
71,-8291.3,56,166,0.00,0,12.10,0.808
72,-21790.6,174,517,0.25,0,9.57,0.805
73,-20903.9,144,419,0.00,0,11.34,0.803
74,-5592.3,38,112,0.00,0,12.40,0.801
75,-4689.7,60,175,0.25,0,10.48,0.798
76,-1800.8,13,36,0.00,0,13.73,0.796
77,-1291.6,10,26,0.00,0,12.61,0.793
78,-17786.0,148,437,0.25,0,10.31,0.791
79,-3404.1,50,149,0.25,0,10.30,0.789
80,-3073.8,31,62,0.00,0,9.90,0.786
81,-500.2,3,10,0.00,0,13.83,0.784
82,-2444.9,16,49,0.00,0,13.01,0.782
83,-648.5,4,13,0.00,0,13.61,0.779
84,-1591.8,14,32,0.00,0,12.51,0.777
85,-1197.6,8,24,0.00,0,13.43,0.775
86,829.5,22,64,0.25,0,11.26,0.772
87,-6037.9,69,202,0.25,0,10.95,0.770
88,-2945.2,21,59,0.00,0,12.93,0.768
89,-698.8,4,14,0.00,0,13.66,0.765
90,-795.5,5,16,0.00,0,13.22,0.763
91,980.2,30,61,0.25,0,10.20,0.761
92,-3681.3,54,155,0.25,0,10.31,0.758
93,-597.7,4,12,0.00,0,13.50,0.756
94,-3998.0,28,80,0.00,0,13.18,0.754
95,-2046.2,14,41,0.00,0,13.17,0.752
96,-743.9,5,15,0.00,0,13.01,0.749
97,-550.1,3,11,0.00,0,13.83,0.747
98,40846.9,51,104,0.25,0,8.70,0.745
99,82077.9,101,201,0.50,0,7.61,0.743
100,-6874.0,78,219,0.25,0,9.90,0.740
