episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1497.8,11,30,0.00,0,13.38,0.990
2,-3047.9,21,61,0.00,0,13.29,0.980
3,-949.1,6,19,0.00,0,13.65,0.970
4,-9896.8,67,198,0.00,0,12.55,0.961
5,-998.0,7,20,0.00,0,13.48,0.951
6,-1149.5,8,23,0.00,0,13.66,0.941
7,-1394.8,10,28,0.00,0,13.03,0.932
8,-9790.4,67,196,0.00,0,11.73,0.923
9,-449.0,3,9,0.00,0,13.67,0.914
10,-949.7,6,19,0.00,0,13.73,0.904
11,-700.2,4,14,0.00,0,13.83,0.895
12,-400.0,2,8,0.00,0,13.83,0.886
13,-648.9,4,13,0.00,0,13.66,0.878
14,-14406.0,100,288,0.00,1,13.18,0.869
15,-7045.6,48,141,0.00,0,12.65,0.860
16,-1048.1,7,21,0.00,0,13.51,0.851
17,-4299.3,33,86,0.00,0,13.17,0.843
18,-1000.4,6,20,0.00,0,13.83,0.835
19,-498.4,3,10,0.00,0,13.61,0.826
20,-6638.5,60,133,0.00,0,11.06,0.818
21,-1696.4,16,34,0.00,0,13.00,0.810
22,-947.6,7,19,0.00,0,13.41,0.802
23,-2648.0,18,53,0.00,0,13.34,0.794
24,-1589.6,13,32,0.00,0,12.28,0.786
25,125710.8,100,157,0.25,1,5.43,0.778
26,-848.0,6,17,0.00,0,13.50,0.770
27,-10886.1,73,219,0.00,0,11.73,0.762
28,-11374.4,81,228,0.00,0,10.62,0.755
29,-5189.9,37,104,0.00,0,12.06,0.747
30,-4739.5,31,95,0.00,0,12.15,0.740
31,1483.1,21,51,0.25,0,9.98,0.732
32,-897.1,7,18,0.00,0,13.34,0.725
33,-3134.7,23,63,0.00,0,11.56,0.718
34,-994.7,6,20,0.00,0,13.12,0.711
35,30831.4,53,105,0.50,0,8.00,0.703
36,-2643.1,17,53,0.00,0,12.78,0.696
37,7119.7,50,99,0.50,0,7.67,0.689
38,-6610.2,79,213,0.25,0,9.13,0.683
39,-1289.9,11,26,0.00,0,12.35,0.676
40,-5141.0,62,184,0.25,0,10.08,0.669
41,-3991.5,29,80,0.00,0,12.32,0.662
42,257.6,34,76,0.25,0,7.69,0.656
43,-2535.5,21,51,0.00,0,11.61,0.649
44,-8040.4,83,242,0.25,0,9.21,0.643
45,-1644.9,11,33,0.00,0,13.06,0.636
46,-5790.6,69,197,0.25,0,10.17,0.630
47,11026.7,52,101,0.50,0,5.88,0.624
48,-2102.3,45,123,0.25,0,10.74,0.617
49,-4874.2,33,98,0.00,0,10.83,0.611
50,8585.8,36,70,0.50,0,5.66,0.605
51,-1393.7,9,28,0.00,0,12.95,0.599
52,-2729.8,20,55,0.00,0,10.99,0.593
53,-3946.1,62,160,0.25,0,6.95,0.587
54,-1164.7,37,104,0.25,0,10.91,0.581
55,60999.3,60,102,0.50,0,4.97,0.575
56,-2643.8,18,53,0.00,0,12.82,0.570
57,253758.8,100,87,0.50,1,4.03,0.564
58,-11045.1,100,223,0.00,1,7.37,0.558
59,22159.7,42,78,0.25,0,6.95,0.553
60,30485.1,46,72,0.50,0,4.80,0.547
61,32562.8,58,110,0.25,0,6.67,0.542
62,15689.4,65,129,0.25,0,6.52,0.536
63,7783.0,43,86,0.50,0,6.05,0.531
64,1390.7,23,53,0.25,0,9.19,0.526
65,-5555.4,39,112,0.00,0,9.63,0.520
66,37527.5,67,131,0.50,0,5.48,0.515
67,20279.5,32,36,0.25,0,6.17,0.510
68,2024.9,30,41,0.25,0,5.84,0.505
69,-6143.1,47,124,0.00,0,7.93,0.500
70,66594.3,61,71,0.50,0,3.54,0.495
71,127463.5,57,53,0.75,0,4.07,0.490
72,80154.5,61,79,0.50,0,3.83,0.485
73,48417.9,35,34,0.75,0,3.58,0.480
74,114.4,36,79,0.25,0,7.90,0.475
75,935.0,23,62,0.25,0,9.96,0.471
76,-1393.8,9,28,0.00,0,12.96,0.466
77,-210.0,31,85,0.25,0,10.31,0.461
78,34606.2,47,70,0.50,0,3.21,0.457
79,105501.1,55,52,0.50,0,3.00,0.452
80,403.7,32,73,0.25,0,7.08,0.448
81,71963.1,43,43,0.75,0,4.42,0.443
82,24272.1,39,76,0.50,0,7.61,0.439
83,42226.3,60,118,0.50,0,6.54,0.434
84,-1089.2,9,22,0.00,0,12.31,0.430
85,83951.8,45,43,0.75,0,3.35,0.426
86,-2081.4,28,43,0.00,0,6.81,0.421
87,607.8,30,69,0.25,0,7.43,0.417
88,-741.7,5,15,0.00,0,12.73,0.413
89,88528.8,51,32,0.75,0,1.12,0.409
90,10735.4,34,67,0.50,0,5.83,0.405
91,90151.7,43,0,1.00,0,0.00,0.401
92,15575.0,29,50,0.50,0,6.36,0.397
93,42223.9,40,77,0.50,0,6.28,0.393
94,35314.6,31,55,0.50,0,7.26,0.389
95,14277.5,39,76,0.50,0,5.61,0.385
96,-237.2,35,86,0.25,0,7.88,0.381
97,-2677.2,20,54,0.00,0,10.65,0.377
98,46422.0,41,73,0.50,0,5.66,0.373
99,71973.1,40,44,0.50,0,5.88,0.370
100,44769.1,45,67,0.50,0,4.26,0.366
