episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-699.8,5,14,0.00,0,13.73,0.990
2,-450.3,3,9,0.00,0,13.83,0.980
3,-4245.1,31,85,0.00,0,12.73,0.970
4,-946.8,8,19,0.00,0,13.27,0.961
5,-750.5,5,15,0.00,0,13.83,0.951
6,-1643.5,12,33,0.00,0,12.83,0.941
7,-849.5,5,17,0.00,0,13.73,0.932
8,-547.9,4,11,0.00,0,13.51,0.923
9,-894.6,8,18,0.00,0,12.98,0.914
10,-700.2,4,14,0.00,0,13.83,0.904
11,-4935.8,37,99,0.00,0,11.44,0.895
12,-2693.6,19,54,0.00,0,12.75,0.886
13,-845.7,7,17,0.00,0,13.15,0.878
14,-1497.8,10,30,0.00,0,13.43,0.869
15,-4801.9,32,96,0.00,0,13.67,0.860
16,-5252.9,37,105,0.00,0,13.65,0.851
17,-1737.1,14,35,0.00,0,11.96,0.843
18,-1050.7,7,21,0.00,0,13.83,0.835
19,-1396.6,9,28,0.00,0,13.31,0.826
20,-798.6,5,16,0.00,0,13.61,0.818
21,-550.1,3,11,0.00,0,13.83,0.810
22,-792.0,6,16,0.00,0,12.73,0.802
23,-400.0,2,8,0.00,0,13.83,0.794
24,-2396.9,17,48,0.00,0,13.19,0.786
25,-695.6,5,14,0.00,0,13.20,0.778
26,-1049.9,7,21,0.00,0,13.73,0.770
27,-746.1,5,15,0.00,0,13.28,0.762
28,-12841.9,88,257,0.00,0,11.80,0.755
29,-598.2,4,12,0.00,0,13.55,0.747
30,-896.6,6,18,0.00,0,13.33,0.740
31,-1147.9,7,23,0.00,0,13.51,0.732
32,30699.7,75,148,0.50,0,7.38,0.725
33,-1044.6,7,21,0.00,0,13.07,0.718
34,-648.1,5,13,0.00,0,13.51,0.711
35,-7370.6,49,148,0.00,0,10.14,0.703
36,-797.6,6,16,0.00,0,13.43,0.696
37,-5644.8,48,114,0.00,0,8.42,0.689
38,-6659.1,79,214,0.25,0,9.09,0.683
39,3045.1,36,21,0.25,0,4.76,0.676
40,-9114.7,61,183,0.00,0,10.28,0.669
41,24401.9,38,73,0.25,0,8.25,0.662
42,-6957.3,90,222,0.25,0,8.72,0.656
43,27513.4,68,132,0.50,0,5.73,0.649
44,60531.9,58,111,0.50,0,7.65,0.643
45,-1448.3,10,29,0.00,0,13.48,0.636
46,166048.8,106,201,0.50,0,5.87,0.630
47,15637.2,49,89,0.50,0,4.95,0.624
48,-990.3,7,20,0.00,0,12.52,0.617
49,-4252.8,62,166,0.25,0,9.77,0.611
50,-4724.8,45,95,0.00,0,9.89,0.605
51,-1688.7,14,34,0.00,0,12.14,0.599
52,20222.7,40,77,0.50,0,7.34,0.593
53,-2213.1,22,45,0.00,0,9.18,0.587
54,-2755.1,47,136,0.25,0,9.19,0.581
55,-9929.7,99,281,0.25,0,9.01,0.575
56,-762.5,35,96,0.25,0,10.51,0.570
57,71226.8,55,97,0.50,0,6.89,0.564
58,-1143.7,7,23,0.00,0,12.98,0.558
59,-1745.1,40,116,0.25,0,10.50,0.553
60,-1941.7,45,120,0.25,0,7.31,0.547
61,9887.1,43,84,0.50,0,6.54,0.542
62,-3852.9,56,158,0.25,0,9.55,0.536
63,312162.0,95,0,1.00,0,0.00,0.531
64,-554.2,34,92,0.25,0,9.08,0.526
65,47580.6,48,90,0.50,0,7.00,0.520
66,75720.6,48,48,0.75,0,3.35,0.515
67,-1706.3,40,115,0.25,0,9.73,0.510
68,-5773.7,38,116,0.00,0,10.31,0.505
69,53671.2,46,88,0.50,0,6.49,0.500
70,639.8,28,68,0.25,0,9.00,0.495
71,-1595.5,10,32,0.00,0,13.17,0.490
72,-1673.5,48,115,0.25,0,6.47,0.485
73,18759.9,33,66,0.50,0,8.00,0.480
74,-2656.0,48,134,0.25,0,8.94,0.475
75,48373.4,39,74,0.50,0,7.20,0.471
76,653.2,30,68,0.25,0,7.43,0.466
77,69938.1,65,111,0.50,0,3.98,0.461
78,11927.6,30,43,0.50,0,6.95,0.457
79,84345.5,59,76,0.50,0,4.26,0.452
80,89970.1,61,122,0.50,0,6.93,0.448
81,-497.5,3,10,0.00,0,13.50,0.443
82,15333.5,50,96,0.50,0,6.73,0.439
83,46451.1,33,33,0.75,0,4.42,0.434
84,-647.2,4,13,0.00,0,13.44,0.430
85,135.5,28,78,0.25,0,10.15,0.426
86,17464.3,28,52,0.50,0,7.34,0.421
87,58830.4,54,105,0.50,0,6.27,0.417
88,53177.4,52,98,0.50,0,5.66,0.413
89,39717.7,51,48,0.50,0,2.68,0.409
90,1404.5,28,53,0.25,0,7.83,0.405
91,-5333.7,74,189,0.25,0,6.95,0.401
92,-1591.6,43,113,0.25,0,7.13,0.397
93,-1988.3,14,40,0.00,0,12.16,0.393
94,591.2,26,69,0.25,0,9.25,0.389
95,-514.1,41,92,0.25,0,7.95,0.385
96,30868.5,34,64,0.50,0,7.20,0.381
97,1382.9,19,53,0.25,0,10.52,0.377
98,678.6,23,67,0.25,0,11.13,0.373
99,-1735.7,15,35,0.00,0,11.73,0.370
100,58070.1,41,41,0.75,0,3.35,0.366
101,73954.2,44,43,0.75,0,3.35,0.362
102,77921.3,46,44,0.75,0,3.13,0.359
103,107530.8,52,52,0.75,0,4.42,0.355
104,-179.9,38,85,0.25,0,6.23,0.352
105,4943.2,37,63,0.50,0,5.62,0.348
106,1551.4,26,50,0.25,0,7.84,0.345
107,68018.1,35,4,0.75,0,1.95,0.341
108,39623.8,45,89,0.50,0,5.61,0.338
