episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-647.3,4,13,0.00,0,13.46,0.997
2,-2494.4,18,50,0.00,0,12.86,0.994
3,-400.0,2,8,0.00,0,13.83,0.991
4,-1199.8,9,24,0.00,0,13.66,0.988
5,-1244.2,10,25,0.00,0,12.91,0.985
6,-1797.9,12,36,0.00,0,13.42,0.982
7,-2749.4,20,55,0.00,0,13.44,0.979
8,-1192.2,11,24,0.00,0,12.60,0.976
9,-5748.9,39,115,0.00,0,13.18,0.973
10,-799.6,5,16,0.00,0,13.73,0.970
11,-3689.6,25,74,0.00,0,12.21,0.967
12,-4596.0,30,92,0.00,0,12.98,0.965
13,-549.3,3,11,0.00,0,13.73,0.962
14,-1196.9,8,24,0.00,0,13.34,0.959
15,-1696.8,12,34,0.00,0,13.26,0.956
16,-748.4,5,15,0.00,0,13.56,0.953
17,-646.7,4,13,0.00,0,13.38,0.950
18,-2799.3,23,56,0.00,0,13.30,0.947
19,-1148.4,9,23,0.00,0,13.47,0.945
20,-1750.0,12,35,0.00,0,13.67,0.942
21,-546.9,4,11,0.00,0,13.38,0.939
22,-550.1,3,11,0.00,0,13.83,0.936
23,-500.2,3,10,0.00,0,13.83,0.933
24,-550.1,3,11,0.00,0,13.83,0.930
25,-1000.8,7,20,0.00,0,13.83,0.928
26,-2600.2,17,52,0.00,0,13.65,0.925
27,-2190.7,16,44,0.00,0,12.42,0.922
28,-1549.5,11,31,0.00,0,13.61,0.919
29,-997.8,6,20,0.00,0,13.51,0.917
30,-748.2,5,15,0.00,0,13.55,0.914
31,-1648.3,11,33,0.00,0,13.48,0.911
32,-2498.8,16,50,0.00,0,13.51,0.908
33,-400.0,2,8,0.00,0,13.83,0.906
34,-446.7,3,9,0.00,0,13.38,0.903
35,-1746.8,14,35,0.00,0,13.17,0.900
36,-3788.0,26,76,0.00,0,11.98,0.897
37,-7500.1,52,150,0.00,0,13.12,0.895
38,-649.1,5,13,0.00,0,13.63,0.892
39,-548.3,3,11,0.00,0,13.61,0.889
40,-996.9,6,20,0.00,0,13.39,0.887
41,-993.1,7,20,0.00,0,12.87,0.884
42,-3590.7,25,72,0.00,0,12.42,0.881
43,-3790.7,25,76,0.00,0,12.37,0.879
44,-12648.2,85,254,0.00,0,11.83,0.876
45,-700.2,4,14,0.00,0,13.83,0.874
46,-1394.0,11,28,0.00,0,12.88,0.871
47,-1098.5,7,22,0.00,0,13.56,0.868
48,-3355.4,66,148,0.25,0,9.51,0.866
49,-1247.2,8,25,0.00,0,13.39,0.863
50,-847.5,5,17,0.00,0,13.48,0.861
51,-16387.2,144,409,0.25,0,10.34,0.858
52,-498.8,3,10,0.00,0,13.66,0.855
53,-1253.4,40,106,0.25,0,10.11,0.853
54,-9344.3,65,187,0.00,0,12.20,0.850
55,-7888.9,85,239,0.25,0,8.03,0.848
56,-13914.9,94,279,0.00,0,11.66,0.845
57,-648.5,4,13,0.00,0,13.61,0.843
58,-695.6,6,14,0.00,0,13.16,0.840
59,-548.7,3,11,0.00,0,13.65,0.838
60,-4985.1,45,100,0.00,0,10.97,0.835
61,-2160.3,43,124,0.25,0,9.73,0.833
62,-7292.8,52,146,0.00,0,12.16,0.830
63,-697.1,5,14,0.00,0,13.39,0.828
64,-2701.8,18,54,0.00,0,13.83,0.825
65,-1843.1,13,37,0.00,0,12.79,0.823
66,-6678.1,74,215,0.25,0,11.26,0.820
