episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1249.0,9,25,0.00,0,13.57,0.997
2,-1701.0,11,34,0.00,0,13.83,0.994
3,-448.5,3,9,0.00,0,13.61,0.991
4,-3650.8,28,73,0.00,0,13.44,0.988
5,-2251.8,19,45,0.00,0,13.67,0.985
6,-795.0,5,16,0.00,0,13.15,0.982
7,-2396.8,21,48,0.00,0,12.98,0.979
8,-750.5,5,15,0.00,0,13.83,0.976
9,-947.9,6,19,0.00,0,13.50,0.973
10,-948.8,7,19,0.00,0,13.56,0.970
11,-1049.3,8,21,0.00,0,13.61,0.967
12,-749.1,5,15,0.00,0,13.66,0.965
13,-600.4,4,12,0.00,0,13.83,0.962
14,-1746.7,12,35,0.00,0,13.26,0.959
15,-1046.7,8,21,0.00,0,13.28,0.956
16,-2198.8,19,44,0.00,0,13.29,0.953
17,-1947.3,14,39,0.00,0,13.29,0.950
18,-1046.7,9,21,0.00,0,13.23,0.947
19,-3049.8,20,61,0.00,0,13.56,0.945
20,-947.7,7,19,0.00,0,13.44,0.942
21,-7146.6,50,143,0.00,0,12.87,0.939
22,-14659.9,102,295,0.00,0,12.03,0.936
23,-2796.4,18,56,0.00,0,13.18,0.933
24,-400.0,2,8,0.00,0,13.83,0.930
25,-1150.5,7,23,0.00,0,13.83,0.928
26,-2502.4,22,50,0.00,0,13.65,0.925
27,-648.2,4,13,0.00,0,13.56,0.922
28,-699.8,5,14,0.00,0,13.73,0.919
29,-2651.5,17,53,0.00,0,13.83,0.917
30,-4746.8,32,95,0.00,0,13.07,0.914
31,-4892.9,40,98,0.00,0,12.47,0.911
32,-947.7,10,19,0.00,0,13.28,0.908
33,-8275.9,56,166,0.00,0,10.62,0.906
34,-1701.0,11,34,0.00,0,13.83,0.903
35,-1397.4,9,28,0.00,0,13.40,0.900
36,-1149.4,8,23,0.00,0,13.64,0.897
37,-1600.8,10,32,0.00,0,13.83,0.895
38,-897.4,7,18,0.00,0,13.38,0.892
39,-1801.2,12,36,0.00,0,13.83,0.889
40,-9594.6,100,273,0.25,0,9.38,0.887
41,-798.5,7,16,0.00,0,13.50,0.884
42,-14371.4,124,368,0.25,0,10.09,0.881
43,-400.0,2,8,0.00,0,13.83,0.879
44,-646.4,4,13,0.00,0,13.34,0.876
45,-15315.6,130,389,0.25,0,10.31,0.874
46,-1695.4,12,34,0.00,0,13.09,0.871
47,-3037.9,22,61,0.00,0,11.98,0.868
48,-1143.6,11,23,0.00,0,12.77,0.866
49,-2642.5,18,53,0.00,0,12.65,0.863
50,-844.9,8,17,0.00,0,13.01,0.861
51,-498.8,3,10,0.00,0,13.66,0.858
52,-739.5,8,15,0.00,0,12.31,0.855
53,-1349.1,9,27,0.00,0,13.61,0.853
54,-4892.1,34,98,0.00,0,12.37,0.850
55,-947.3,6,19,0.00,0,13.43,0.848
56,-16741.9,153,416,0.25,0,11.00,0.845
57,-498.8,3,10,0.00,0,13.66,0.843
58,-2074.3,42,122,0.25,0,11.00,0.840
59,-2889.1,24,58,0.00,0,11.99,0.838
60,-3153.6,48,144,0.25,0,11.36,0.835
61,-4643.4,73,174,0.25,0,9.30,0.833
62,-2595.4,20,52,0.00,0,12.91,0.830
63,-5879.7,49,118,0.00,0,11.05,0.828
64,-1268.2,50,106,0.25,0,9.36,0.825
65,-1445.6,10,29,0.00,0,13.14,0.823
66,-7188.3,82,225,0.25,0,10.33,0.820
67,-1289.0,14,26,0.00,0,12.08,0.818
68,-996.2,7,20,0.00,0,13.26,0.815
69,-4126.6,40,83,0.00,0,10.75,0.813
70,180622.6,135,269,0.50,0,6.84,0.810
71,-1484.6,19,30,0.00,0,11.33,0.808
72,1928.2,18,42,0.25,0,10.71,0.805
73,-790.3,6,16,0.00,0,12.52,0.803
74,-1533.6,13,31,0.00,0,11.52,0.801
75,-1589.6,14,32,0.00,0,12.24,0.798
76,-5352.6,63,188,0.25,0,11.36,0.796
77,-1393.8,9,28,0.00,0,12.96,0.793
78,-498.9,3,10,0.00,0,13.67,0.791
79,-5328.3,66,188,0.25,0,9.70,0.789
80,-19515.2,171,473,0.25,0,7.81,0.786
81,-6258.1,69,206,0.25,0,10.48,0.784
82,-1392.8,10,28,0.00,0,12.78,0.782
83,137.1,29,78,0.25,0,10.60,0.779
84,-1742.8,15,35,0.00,0,12.62,0.777
85,91173.0,70,138,0.50,0,8.00,0.775
86,-1396.3,10,28,0.00,0,13.22,0.772
87,-1658.4,38,114,0.25,0,11.36,0.770
88,-1497.4,10,30,0.00,0,13.38,0.768
89,51720.5,54,87,0.50,0,7.53,0.765
90,-7872.2,85,239,0.25,0,8.71,0.763
91,-2545.4,45,132,0.25,0,11.00,0.761
92,20025.6,109,204,0.25,0,8.73,0.758
93,-1301.0,9,26,0.00,0,13.83,0.756
94,-1541.1,11,31,0.00,0,12.56,0.754
95,-3490.3,24,70,0.00,0,12.29,0.752
96,-800.4,5,16,0.00,0,13.83,0.749
97,-550.1,3,11,0.00,0,13.83,0.747
98,-1983.0,19,40,0.00,0,11.26,0.745
99,-549.3,3,11,0.00,0,13.73,0.743
100,-8382.3,104,249,0.25,0,6.50,0.740
