Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-19.6	6	16	0.00	False
2	-150.2	45	119	0.00	False
3	-11.4	4	9	0.00	False
4	-95.4	28	85	0.00	False
5	-10.4	4	9	0.00	False
6	-18.6	7	15	0.00	False
7	-33.4	10	28	0.00	False
8	-28.6	11	21	0.00	False
9	-70.6	22	65	0.00	False
10	-24.0	8	22	0.00	False
11	-145.2	51	103	0.00	False
12	-88.8	30	66	0.00	False
13	-36.0	12	33	0.00	False
14	-52.8	18	43	0.00	False
15	-41.0	13	37	0.00	False
16	-192.8	60	176	0.00	False
17	-265.4	97	221	0.00	False
18	-384.4	127	346	0.00	False
19	-1808.2	625	1624	0.00	False
20	-1475.6	611	1231	0.00	False
21	-1456.8	608	1203	0.00	False
