Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-31.6	9	28	0.00	False
2	-114.4	32	96	0.00	False
3	-18.6	6	16	0.00	False
4	-29.0	9	26	0.00	False
5	-14.8	5	11	0.00	False
6	-102.6	30	82	0.00	False
7	-213.0	59	176	0.00	False
8	-35.4	11	27	0.00	False
9	-7.2	2	7	0.00	False
10	-122.0	39	101	0.00	False
11	-18.4	6	17	0.00	False
12	-113.4	40	88	0.00	False
13	-355.4	118	295	0.00	False
14	1465.4	166	490	0.25	False
15	-211.0	76	179	0.00	False
16	-809.6	253	739	0.00	False
17	-2859.6	1000	2567	0.00	True
18	-1052.8	449	862	0.00	False
19	-2945.4	1000	2678	0.00	True
20	-1506.0	484	1396	0.00	False
21	-2883.6	1000	2597	0.00	True
22	-1403.6	488	1259	0.00	False
23	-2735.8	1000	2386	0.00	True
24	-920.6	397	710	0.00	False
25	177975.6	1000	1543	0.25	True
26	-2808.6	1000	2492	0.00	True
27	-1135.8	364	1032	0.00	False
28	-3081.8	1000	2846	0.00	True
29	-3008.4	1000	2753	0.00	True
30	-1889.0	663	1687	0.00	False
31	-1395.6	550	1187	0.00	False
32	-392.8	121	355	0.00	False
33	-2843.4	1000	2553	0.00	True
34	-2684.0	898	2422	0.00	False
35	-3010.6	1000	2762	0.00	True
36	-2700.6	1000	2367	0.00	True
37	-300.6	109	243	0.00	False
38	-397.8	173	323	0.00	False
