episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-949.5,7,19,0.00,0,13.66,0.990
2,-4797.2,33,96,0.00,0,13.04,0.980
3,-1501.4,11,30,0.00,0,13.83,0.970
4,-700.2,4,14,0.00,0,13.83,0.961
5,-1098.1,8,22,0.00,0,13.47,0.951
6,-550.1,3,11,0.00,0,13.83,0.941
7,-14247.2,100,286,0.00,0,10.72,0.932
8,-849.0,5,17,0.00,0,13.67,0.923
9,-1499.5,12,30,0.00,0,13.55,0.914
10,-597.2,4,12,0.00,0,13.43,0.904
11,-4800.0,34,96,0.00,0,13.33,0.895
12,-797.7,5,16,0.00,0,13.50,0.886
13,-6753.0,51,135,0.00,0,13.34,0.878
14,-1949.8,15,39,0.00,0,13.55,0.869
15,-1549.3,13,31,0.00,0,13.49,0.860
16,-1892.8,17,38,0.00,0,12.56,0.851
17,-2049.4,15,41,0.00,0,13.52,0.843
18,-599.0,4,12,0.00,0,13.66,0.835
19,-9512.4,101,271,0.25,0,9.24,0.826
20,-3046.6,20,61,0.00,0,13.17,0.818
21,-7309.9,68,147,0.00,0,8.20,0.810
22,-1341.7,11,27,0.00,0,12.58,0.802
23,-1194.7,9,24,0.00,0,13.01,0.794
24,-7424.9,52,149,0.00,0,10.40,0.786
25,-4246.5,34,85,0.00,0,12.76,0.778
26,-2742.8,18,55,0.00,0,12.71,0.770
27,-4033.5,27,81,0.00,0,12.06,0.762
28,-1145.0,8,23,0.00,0,13.09,0.755
29,-4131.2,32,83,0.00,0,10.92,0.747
30,-14850.8,130,380,0.25,0,10.78,0.740
31,-548.3,3,11,0.00,0,13.61,0.732
32,-3626.3,52,154,0.25,0,10.08,0.725
33,-1243.9,8,25,0.00,0,12.98,0.718
34,-595.8,4,12,0.00,0,13.26,0.711
35,-2156.3,46,124,0.25,0,9.08,0.703
36,54461.2,56,112,0.50,0,7.78,0.696
37,151505.8,99,132,0.50,0,2.16,0.689
38,-1743.4,13,35,0.00,0,12.80,0.683
39,26032.8,61,81,0.25,0,6.56,0.676
40,-2020.9,23,41,0.00,0,9.60,0.669
41,-1643.2,12,33,0.00,0,12.80,0.662
42,114470.7,77,152,0.50,0,6.49,0.656
43,-9010.6,62,181,0.00,0,9.86,0.649
44,-8744.4,87,256,0.25,0,9.18,0.643
45,-891.2,7,18,0.00,0,12.61,0.636
46,-2134.8,15,43,0.00,0,11.72,0.630
47,-1101.5,38,103,0.25,0,8.84,0.624
48,1631.8,20,48,0.25,0,10.08,0.617
49,-1544.7,10,31,0.00,0,13.06,0.611
50,-1436.7,10,29,0.00,0,12.03,0.605
51,8308.5,39,75,0.50,0,7.61,0.599
52,-5915.9,39,119,0.00,0,10.83,0.593
53,9447.0,80,96,0.50,0,3.17,0.587
54,-641.6,5,13,0.00,0,12.70,0.581
55,-1986.7,16,40,0.00,0,11.87,0.575
56,9541.0,55,91,0.25,0,6.10,0.570
57,-105.5,31,83,0.25,0,9.75,0.564
58,-6981.6,50,140,0.00,0,11.73,0.558
59,1191.9,26,57,0.25,0,9.27,0.553
60,-3043.5,53,142,0.25,0,8.74,0.547
61,-2253.5,20,46,0.00,0,8.73,0.542
62,-1480.7,12,30,0.00,0,11.19,0.536
63,-5936.6,45,120,0.00,0,8.03,0.531
64,-996.9,6,20,0.00,0,13.39,0.526
65,-1057.9,35,102,0.25,0,8.79,0.520
66,-548.7,3,11,0.00,0,13.66,0.515
67,-1188.7,9,24,0.00,0,12.26,0.510
68,59269.4,49,96,0.50,0,7.56,0.505
69,33277.6,32,56,0.50,0,6.78,0.500
70,-3863.5,32,78,0.00,0,8.64,0.495
71,60472.8,55,112,0.25,0,7.49,0.490
72,-149.1,34,84,0.25,0,7.51,0.485
73,-1889.8,14,38,0.00,0,12.34,0.480
74,37515.1,56,92,0.50,0,3.91,0.475
75,34645.2,35,68,0.25,0,8.18,0.471
76,9763.2,26,46,0.50,0,7.02,0.466
77,1784.2,18,45,0.25,0,10.38,0.461
78,-500.1,36,91,0.25,0,10.34,0.457
79,320673.4,122,111,0.75,0,3.40,0.452
80,-9538.7,97,273,0.25,0,8.01,0.448
81,92165.0,48,0,1.00,0,0.00,0.443
82,-1106.7,37,103,0.25,0,9.97,0.439
83,44524.3,45,71,0.50,0,6.41,0.434
84,21669.5,30,48,0.50,0,6.24,0.430
85,29447.7,30,13,0.25,0,3.89,0.426
