episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-648.9,4,13,0.00,0,26.70,0.990
2,-3897.9,28,78,0.00,0,26.18,0.980
3,-2299.4,17,46,0.00,0,26.52,0.970
4,-3242.3,24,65,0.00,0,25.52,0.961
5,-497.4,3,10,0.00,0,26.52,0.951
6,-945.8,8,19,0.00,0,26.19,0.941
7,-498.8,3,10,0.00,0,26.70,0.932
8,-15549.2,105,311,0.00,0,25.41,0.923
9,-697.9,5,14,0.00,0,26.53,0.914
10,-3348.0,22,67,0.00,0,26.35,0.904
11,-4693.9,35,94,0.00,0,25.53,0.895
12,-550.1,3,11,0.00,0,26.87,0.886
13,-16449.4,110,329,0.00,0,25.41,0.878
14,-496.5,4,10,0.00,0,26.35,0.869
15,-650.3,4,13,0.00,0,26.87,0.860
16,-749.1,5,15,0.00,0,26.70,0.851
17,-1344.2,9,27,0.00,0,26.03,0.843
18,-998.0,7,20,0.00,0,26.52,0.835
19,-1245.6,9,25,0.00,0,26.18,0.826
20,-2102.2,16,42,0.00,0,26.87,0.818
21,-22994.9,160,461,0.00,0,20.23,0.810
22,-24077.9,207,483,0.00,0,15.13,0.802
23,-498.8,3,10,0.00,0,26.70,0.794
24,-8812.1,66,177,0.00,0,21.04,0.786
25,-2046.0,14,41,0.00,0,26.18,0.778
26,-14124.8,135,284,0.00,0,15.01,0.770
27,-21559.9,144,432,0.00,0,20.65,0.762
28,-21823.8,165,438,0.00,0,19.48,0.755
29,-8247.7,56,165,0.00,0,25.84,0.747
30,-2242.1,16,45,0.00,0,25.65,0.740
31,-9420.4,65,189,0.00,0,22.28,0.732
32,-1591.7,11,32,0.00,0,25.69,0.725
33,-747.7,5,15,0.00,0,26.52,0.718
34,-3880.2,33,78,0.00,0,23.72,0.711
35,-748.1,6,15,0.00,0,26.52,0.703
36,-15546.1,106,312,0.00,0,20.80,0.696
37,-13287.5,90,267,0.00,0,20.23,0.689
38,-11062.8,75,222,0.00,0,21.25,0.683
39,-691.3,6,14,0.00,0,25.66,0.676
40,-6565.3,46,132,0.00,0,21.88,0.669
41,-8127.0,57,163,0.00,0,23.19,0.662
42,-11305.0,87,227,0.00,0,19.73,0.656
43,-1345.4,9,27,0.00,0,26.19,0.649
44,-650.3,4,13,0.00,0,26.87,0.643
45,-15314.3,108,307,0.00,0,20.91,0.636
46,-11990.6,81,241,0.00,0,19.96,0.630
