Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-662.8	185	556	0.00	False
2	-12.8	4	12	0.00	False
3	-26.0	8	22	0.00	False
4	-174.6	51	146	0.00	False
5	-83.0	24	71	0.00	False
6	-21.0	6	19	0.00	False
7	-399.8	112	329	0.00	False
8	-68.2	22	52	0.00	False
9	-11.2	3	11	0.00	False
10	-29.8	9	27	0.00	False
11	-47.2	13	41	0.00	False
12	-21.0	6	19	0.00	False
13	-25.6	8	24	0.00	False
14	-41.4	12	36	0.00	False
15	-19.4	6	17	0.00	False
16	-62.0	17	53	0.00	False
17	-26.6	8	24	0.00	False
18	-8.0	2	8	0.00	False
19	-16.2	5	14	0.00	False
20	-13.8	4	12	0.00	False
21	-14.6	4	13	0.00	False
22	-56.6	17	50	0.00	False
23	-43.2	12	37	0.00	False
24	-61.4	21	47	0.00	False
25	-15.6	5	12	0.00	False
26	-45.4	13	40	0.00	False
27	-36.4	11	32	0.00	False
28	-13.6	4	13	0.00	False
29	-8.0	2	8	0.00	False
30	-94.0	28	77	0.00	False
31	-34.4	10	28	0.00	False
32	-8.0	2	8	0.00	False
33	-25.2	8	21	0.00	False
34	-33.2	10	29	0.00	False
35	-17.6	5	17	0.00	False
36	-10.4	3	10	0.00	False
37	-26.0	8	22	0.00	False
38	-52.6	16	46	0.00	False
39	-272.4	80	218	0.00	False
40	-11.2	3	11	0.00	False
41	-11.2	3	11	0.00	False
42	-83.4	26	67	0.00	False
43	-35.8	10	31	0.00	False
44	-38.2	11	33	0.00	False
45	-92.6	27	80	0.00	False
46	-75.2	24	55	0.00	False
47	-12.0	4	11	0.00	False
48	-84.6	25	67	0.00	False
49	-49.8	14	42	0.00	False
50	-29.8	9	27	0.00	False
51	-81.0	23	67	0.00	False
52	-17.6	5	17	0.00	False
53	-28.4	8	25	0.00	False
54	-40.4	12	36	0.00	False
55	-141.0	41	119	0.00	False
56	-32.6	10	27	0.00	False
57	-14.4	4	14	0.00	False
58	-13.8	4	12	0.00	False
59	-35.2	11	28	0.00	False
60	-23.6	7	20	0.00	False
61	-30.0	9	26	0.00	False
62	-44.2	15	29	0.00	False
63	-16.0	5	15	0.00	False
64	-18.6	6	16	0.00	False
65	-263.2	77	212	0.00	False
66	-31.6	9	28	0.00	False
67	67825.8	63	127	0.25	False
68	-48.2	15	39	0.00	False
69	-42.2	12	37	0.00	False
70	-8.0	2	8	0.00	False
71	-44.6	13	39	0.00	False
72	-20.4	6	17	0.00	False
73	-21.0	6	19	0.00	False
74	-16.0	5	15	0.00	False
75	-10.4	3	10	0.00	False
76	-71.8	21	60	0.00	False
77	-21.8	6	20	0.00	False
78	-16.2	5	14	0.00	False
79	-13.6	4	13	0.00	False
80	-161.2	46	138	0.00	False
81	-237.2	72	187	0.00	False
82	-136.8	41	115	0.00	False
83	-29.4	9	24	0.00	False
84	-58.4	17	51	0.00	False
85	-19.6	6	16	0.00	False
86	-22.8	7	19	0.00	False
87	-17.6	5	17	0.00	False
88	-44.2	14	35	0.00	False
89	-21.8	6	20	0.00	False
90	-25.0	7	23	0.00	False
91	-11.2	3	11	0.00	False
92	-23.8	7	19	0.00	False
93	-24.2	7	22	0.00	False
94	-27.2	8	26	0.00	False
95	-62.4	19	49	0.00	False
96	-9.6	3	9	0.00	False
97	-13.8	4	12	0.00	False
98	-313.4	98	225	0.00	False
99	-10.4	3	10	0.00	False
100	-47.8	14	42	0.00	False
101	-44.0	12	38	0.00	False
102	-65.2	20	54	0.00	False
103	-8.0	2	8	0.00	False
104	-27.6	8	24	0.00	False
105	-25.4	8	20	0.00	False
106	-81.0	22	68	0.00	False
107	-23.4	7	21	0.00	False
108	-22.6	7	20	0.00	False
109	-36.6	11	31	0.00	False
110	-14.4	5	13	0.00	False
111	-15.4	4	14	0.00	False
112	-35.4	10	28	0.00	False
113	-61.8	18	53	0.00	False
114	-203.8	58	173	0.00	False
115	-41.0	12	38	0.00	False
116	-13.8	5	11	0.00	False
117	-667.0	188	562	0.00	False
118	-186.2	54	155	0.00	False
119	-115.6	35	82	0.00	False
120	-8.0	2	8	0.00	False
121	-21.8	6	20	0.00	False
122	-13.6	4	13	0.00	False
123	-141.6	47	100	0.00	False
124	-10.4	3	10	0.00	False
125	-30.8	9	27	0.00	False
126	-8.0	2	8	0.00	False
127	-89.8	28	63	0.00	False
128	-72.0	21	59	0.00	False
129	-44.6	16	31	0.00	False
130	-26.0	7	23	0.00	False
131	-53.6	15	47	0.00	False
132	-81.2	24	65	0.00	False
133	-23.6	7	20	0.00	False
134	-22.8	7	19	0.00	False
135	-14.4	4	14	0.00	False
136	-16.8	5	16	0.00	False
137	-20.8	6	20	0.00	False
138	-39.2	13	31	0.00	False
139	-35.8	11	30	0.00	False
140	-15.4	5	13	0.00	False
141	-91.8	27	74	0.00	False
142	-38.6	15	27	0.00	False
143	-14.4	4	14	0.00	False
144	-13.8	4	12	0.00	False
145	-14.6	4	13	0.00	False
146	-16.2	5	14	0.00	False
147	-18.8	7	14	0.00	False
148	-26.0	7	23	0.00	False
149	-53.2	15	44	0.00	False
150	-25.2	7	22	0.00	False
151	-26.0	8	22	0.00	False
152	-72.6	22	60	0.00	False
153	-11.2	3	11	0.00	False
154	-16.2	5	14	0.00	False
155	-47.2	14	40	0.00	False
156	-21.0	6	19	0.00	False
157	-11.2	3	11	0.00	False
158	-17.6	5	17	0.00	False
159	-96.2	27	82	0.00	False
160	-80.6	24	73	0.00	False
161	-86.0	25	75	0.00	False
162	-59.8	17	49	0.00	False
163	-16.8	5	16	0.00	False
164	-280.8	81	235	0.00	False
165	-121.4	34	99	0.00	False
166	-17.8	5	16	0.00	False
167	-83.0	24	71	0.00	False
168	-20.4	7	16	0.00	False
169	-49.6	14	43	0.00	False
170	-20.0	6	19	0.00	False
171	-22.0	7	18	0.00	False
172	-9.6	3	9	0.00	False
173	-16.0	5	15	0.00	False
174	-20.2	6	18	0.00	False
175	-42.2	12	37	0.00	False
176	-10.4	3	10	0.00	False
177	-38.2	12	32	0.00	False
178	-47.2	14	40	0.00	False
179	-21.2	7	17	0.00	False
180	-98.2	30	79	0.00	False
181	-50.0	15	40	0.00	False
182	-29.2	9	25	0.00	False
183	-36.8	10	31	0.00	False
184	-113.2	33	96	0.00	False
185	-154.4	43	130	0.00	False
186	-198.8	56	170	0.00	False
187	-98.4	29	84	0.00	False
188	-242.4	69	209	0.00	False
189	-10.4	3	10	0.00	False
190	-23.0	7	18	0.00	False
191	-47.2	14	40	0.00	False
192	-66.6	19	58	0.00	False
193	-19.6	6	16	0.00	False
194	-40.4	14	24	0.00	False
195	-11.2	3	11	0.00	False
196	-104.8	30	91	0.00	False
197	-135.2	39	115	0.00	False
198	-35.6	10	32	0.00	False
199	-13.6	4	13	0.00	False
200	-76.0	22	63	0.00	False
201	-81.2	23	71	0.00	False
202	-58.8	17	49	0.00	False
203	-17.8	5	16	0.00	False
204	-88.2	30	64	0.00	False
205	-134.6	39	118	0.00	False
206	-39.4	12	31	0.00	False
207	-14.4	4	14	0.00	False
208	-32.2	10	29	0.00	False
209	-26.8	8	23	0.00	False
210	-53.4	17	46	0.00	False
211	-50.2	15	44	0.00	False
212	-25.4	8	20	0.00	False
213	-14.6	4	13	0.00	False
214	-19.6	6	16	0.00	False
215	-32.8	11	25	0.00	False
216	-10.4	3	10	0.00	False
217	-828.0	232	693	0.00	False
218	-10.4	3	10	0.00	False
219	-20.0	6	19	0.00	False
220	-39.2	12	32	0.00	False
221	-13.6	4	13	0.00	False
