Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-1556.0	52	153	0.00	False
2	-70.2	2	7	0.00	False
3	-378.0	13	37	0.00	False
4	-235.0	13	22	0.00	False
5	-232.8	8	23	0.00	False
6	-161.8	5	16	0.00	False
7	-1273.6	42	125	0.00	False
8	-330.0	13	32	0.00	False
9	-643.6	24	63	0.00	False
10	-303.8	11	30	0.00	False
11	-395.4	14	39	0.00	False
12	-1018.4	38	100	0.00	False
13	-529.4	27	51	0.00	False
14	-296.4	14	29	0.00	False
15	-560.2	24	55	0.00	False
16	-228.8	14	22	0.00	False
17	-442.0	22	43	0.00	False
18	-1838.8	64	182	0.00	False
19	-1030.6	46	101	0.00	False
20	-625.0	35	60	0.00	False
21	-448.4	30	43	0.00	False
22	-730.4	42	71	0.00	False
23	-4047.2	209	395	0.00	False
24	-9380.6	463	919	0.00	False
25	-5757.2	274	565	0.00	False
26	-15739.2	1000	1524	0.00	True
27	-13557.0	677	1328	0.00	False
28	-2638.8	100	261	0.00	False
29	-26891.6	1000	2662	0.00	True
30	-16061.4	1000	1553	0.00	True
31	-19780.8	1000	1936	0.00	True
32	-10878.4	1000	978	0.00	True
33	-19524.6	1000	1907	0.00	True
34	-571.4	27	56	0.00	False
35	-20765.6	1000	1987	0.00	True
36	-24033.2	1000	2339	0.00	True
37	-10325.2	754	960	0.00	False
38	-19462.2	668	1931	0.00	False
39	-14462.2	1000	1354	0.00	True
40	-23945.4	801	2377	0.00	False
41	-29098.2	1000	2884	0.00	True
42	-1434.6	1000	1900	0.25	True
43	-23720.6	1000	2307	0.00	True
44	8050.6	1000	889	0.25	True
45	-26667.4	1000	2628	0.00	True
46	-4341.8	1000	301	0.00	True
47	-4740.2	524	415	0.00	False
48	-1316.6	54	128	0.00	False
49	-21791.2	1000	2104	0.00	True
50	-29062.0	980	2885	0.00	False
51	-20323.0	1000	1940	0.00	True
52	-27823.6	1000	2747	0.00	True
53	-3594.4	256	342	0.00	False
54	-25040.6	1000	2462	0.00	True
55	-23791.4	1000	2343	0.00	True
56	-12248.2	1000	1164	0.00	True
57	-11099.8	984	1047	0.00	False
58	-26457.0	1000	2615	0.00	True
59	-17831.2	1000	1734	0.00	True
60	-7639.6	1000	627	0.00	True
61	-12174.2	1000	1139	0.00	True
62	-10995.2	1000	989	0.00	True
63	-20371.8	1000	1966	0.00	True
64	-12718.0	1000	1210	0.00	True
65	-8402.4	1000	1845	0.25	True
66	-26953.4	1000	2668	0.00	True
67	-9560.2	1000	889	0.00	True
68	-20607.2	1000	1979	0.00	True
69	-28301.0	1000	2805	0.00	True
70	-12592.8	1000	1166	0.00	True
71	-8121.2	1000	739	0.00	True
72	-12454.2	1000	1139	0.00	True
73	-26537.6	1000	2597	0.00	True
74	-25717.6	1000	2532	0.00	True
75	-885.2	1000	1416	0.25	True
76	-27584.6	1000	2732	0.00	True
77	-3891.6	159	383	0.00	False
78	-18771.2	1000	1789	0.00	True
79	-25346.4	1000	2498	0.00	True
80	-8639.6	1000	992	0.25	True
81	-10512.2	1000	989	0.00	True
82	-10848.2	372	1067	0.00	False
83	-9258.6	1000	996	0.25	True
84	-19523.4	1000	1908	0.00	True
85	-9977.8	1000	921	0.00	True
86	-16500.0	1000	1600	0.00	True
87	-4560.8	1000	1911	0.25	True
88	-4354.8	1000	1649	0.25	True
89	-16676.8	1000	1611	0.00	True
90	-6725.6	466	640	0.25	False
91	4761.0	1000	774	0.25	True
92	-18565.6	1000	1797	0.00	True
93	-15387.0	1000	1485	0.00	True
94	-11349.0	1000	1035	0.00	True
95	-17671.4	1000	1703	0.00	True
96	-1649.0	1000	0	0.00	True
97	-20217.0	1000	1970	0.00	True
98	-1268.0	1000	0	0.00	True
99	-10150.4	1000	953	0.00	True
100	-1002.0	1000	0	0.00	True
101	-6777.0	1000	590	0.00	True
102	-1002.0	1000	0	0.00	True
103	-10585.4	1000	993	0.00	True
104	-15970.8	1000	1546	0.00	True
105	-6730.4	1000	603	0.00	True
106	-8127.4	1000	743	0.00	True
107	-17838.8	1000	1731	0.00	True
108	-19893.6	1000	1947	0.00	True
109	-20004.4	1000	1958	0.00	True
110	-28080.2	1000	2779	0.00	True
111	-13045.6	1000	1237	0.00	True
112	-22041.8	1000	2166	0.00	True
113	-13491.4	762	1311	0.00	False
114	-19091.4	1000	1843	0.00	True
115	-10256.4	532	1001	0.00	False
116	-19040.6	654	1888	0.00	False
117	-13529.2	1000	1682	0.25	True
118	-20474.8	1000	1966	0.00	True
