episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-2247.7,17,45,0.00,0,13.25,0.997
2,-897.5,6,18,0.00,0,13.44,0.994
3,-5295.5,35,106,0.00,0,12.85,0.991
4,-2948.0,19,59,0.00,0,13.37,0.988
5,-498.4,3,10,0.00,0,13.61,0.985
6,-1196.7,11,24,0.00,0,13.16,0.982
7,-499.4,3,10,0.00,0,13.73,0.979
8,-849.9,6,17,0.00,0,13.73,0.976
9,-1045.4,8,21,0.00,0,13.12,0.973
10,-1094.8,8,22,0.00,0,13.06,0.970
11,-799.1,5,16,0.00,0,13.67,0.967
12,-1750.9,11,35,0.00,0,13.83,0.965
13,-5251.4,35,105,0.00,0,13.57,0.962
14,-1448.1,9,29,0.00,0,13.51,0.959
15,-1844.8,12,37,0.00,0,13.04,0.956
16,-4638.3,31,93,0.00,0,11.98,0.953
17,-746.0,6,15,0.00,0,13.21,0.950
18,-1143.4,9,23,0.00,0,12.84,0.947
19,-1798.2,14,36,0.00,0,13.36,0.945
20,-1749.7,12,35,0.00,0,13.63,0.942
21,-949.7,6,19,0.00,0,13.73,0.939
22,-1951.7,14,39,0.00,0,13.83,0.936
23,-850.3,5,17,0.00,0,13.83,0.933
24,-1948.6,17,39,0.00,0,13.30,0.930
25,-1247.6,8,25,0.00,0,13.44,0.928
26,-43175.4,316,945,0.25,0,9.41,0.925
27,-2402.4,22,48,0.00,0,13.63,0.922
28,-799.0,5,16,0.00,0,13.66,0.919
29,-850.3,5,17,0.00,0,13.83,0.917
30,-850.3,5,17,0.00,0,13.83,0.914
31,-599.0,4,12,0.00,0,13.65,0.911
32,-1894.0,14,38,0.00,0,12.86,0.908
33,-16200.5,125,325,0.00,0,7.42,0.906
34,-14884.9,128,379,0.25,0,8.96,0.903
35,-9295.0,64,186,0.00,0,13.03,0.900
36,-548.8,3,11,0.00,0,13.67,0.897
37,-1243.7,8,25,0.00,0,12.96,0.895
38,-498.0,3,10,0.00,0,13.55,0.892
39,-14196.4,132,365,0.25,0,10.75,0.889
40,-550.1,3,11,0.00,0,13.83,0.887
41,-2996.1,22,60,0.00,0,12.99,0.884
42,-995.0,8,20,0.00,0,13.06,0.881
43,-30985.9,214,621,0.00,0,11.31,0.879
44,-16387.1,111,329,0.00,0,10.67,0.876
45,-1247.2,8,25,0.00,0,13.39,0.874
46,-38336.7,256,767,0.00,0,10.02,0.871
47,-4849.5,41,97,0.00,0,12.93,0.868
48,-1448.9,9,29,0.00,0,13.61,0.866
49,-599.0,4,12,0.00,0,13.66,0.863
50,-498.4,3,10,0.00,0,13.61,0.861
51,-4287.6,29,86,0.00,0,12.17,0.858
52,-1241.6,11,25,0.00,0,12.54,0.855
53,-320.1,29,87,0.25,0,11.36,0.853
54,-3190.5,21,64,0.00,0,12.39,0.850
55,52233.1,63,117,0.50,0,6.49,0.848
56,-11698.3,80,235,0.00,0,11.66,0.845
57,-14828.1,154,379,0.25,0,5.62,0.843
58,-9361.9,80,188,0.00,0,10.45,0.840
59,-13045.3,114,342,0.25,0,9.41,0.838
60,-1650.3,11,33,0.00,0,13.73,0.835
61,-647.1,4,13,0.00,0,13.43,0.833
62,-7901.3,84,239,0.25,0,8.42,0.830
63,-596.1,4,12,0.00,0,13.30,0.828
64,227515.2,185,372,0.25,0,7.51,0.825
65,-8692.2,60,174,0.00,0,12.08,0.823
66,-7753.9,52,155,0.00,0,13.66,0.820
67,1037.1,28,60,0.25,0,9.58,0.818
68,-10293.3,71,206,0.00,0,12.02,0.815
69,-2488.5,17,50,0.00,0,12.17,0.813
70,-996.3,8,20,0.00,0,13.22,0.810
71,-4452.9,59,170,0.25,0,10.02,0.808
72,-1097.5,7,22,0.00,0,13.44,0.805
73,-5132.1,37,103,0.00,0,11.04,0.803
74,-4874.6,32,98,0.00,0,10.96,0.801
75,-2734.0,24,55,0.00,0,11.32,0.798
76,-748.7,5,15,0.00,0,13.61,0.796
77,2441.5,75,113,0.25,0,6.23,0.793
78,-744.2,7,15,0.00,0,12.94,0.791
79,-2293.2,20,46,0.00,0,12.56,0.789
80,-7594.7,58,152,0.00,0,12.56,0.786
81,-1247.1,11,25,0.00,0,13.23,0.784
82,-2493.0,16,50,0.00,0,12.78,0.782
83,-1447.7,11,29,0.00,0,13.36,0.779
84,-967.8,37,100,0.25,0,10.26,0.777
85,-798.6,5,16,0.00,0,13.61,0.775
86,-1495.2,11,30,0.00,0,13.06,0.772
87,-9562.9,107,272,0.25,0,8.57,0.770
88,-2098.8,14,42,0.00,0,13.51,0.768
89,-2825.8,46,137,0.25,0,11.13,0.765
90,-1248.3,9,25,0.00,0,13.48,0.763
91,35978.3,61,122,0.25,0,7.24,0.761
92,-9347.9,97,268,0.25,0,8.14,0.758
93,-4406.7,69,169,0.25,0,8.25,0.756
94,-497.0,3,10,0.00,0,13.44,0.754
95,-1795.0,43,117,0.25,0,10.33,0.752
96,-5132.4,76,184,0.25,0,6.58,0.749
97,-2298.0,49,127,0.25,0,10.08,0.747
98,-4168.2,57,164,0.25,0,10.12,0.745
99,-4989.9,69,181,0.25,0,9.07,0.743
100,-991.4,12,20,0.00,0,12.40,0.740
101,-892.7,9,18,0.00,0,12.69,0.738
102,-837.8,7,17,0.00,0,12.17,0.736
103,-713.3,32,95,0.25,0,11.36,0.734
104,-7856.7,72,159,0.00,0,8.63,0.732
105,-2915.9,49,139,0.25,0,11.13,0.729
106,-1044.2,8,21,0.00,0,12.96,0.727
107,-3141.6,22,63,0.00,0,12.46,0.725
108,-791.8,7,16,0.00,0,12.66,0.723
109,-1968.2,43,120,0.25,0,9.86,0.721
110,-2507.9,46,131,0.25,0,10.48,0.719
111,-3553.3,54,152,0.25,0,10.92,0.716
112,-3297.2,54,147,0.25,0,9.43,0.714
113,-1717.2,39,115,0.25,0,11.36,0.712
114,-1640.9,13,33,0.00,0,12.45,0.710
115,-1493.5,10,30,0.00,0,12.90,0.708
116,-5622.3,74,194,0.25,0,8.28,0.706
117,-8981.3,62,180,0.00,0,10.64,0.704
118,-1070.6,34,102,0.25,0,11.36,0.702
119,112717.0,94,188,0.25,0,7.77,0.699
120,-648.1,4,13,0.00,0,13.55,0.697
121,-2043.1,14,41,0.00,0,12.78,0.695
122,-698.8,4,14,0.00,0,13.65,0.693
123,-1037.1,9,21,0.00,0,12.03,0.691
124,-1234.3,11,25,0.00,0,11.64,0.689
125,-1060.2,37,102,0.25,0,10.48,0.687
126,-3671.8,31,74,0.00,0,10.08,0.685
