Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-152.0	5	15	0.00	False
2	-91.6	3	9	0.00	False
3	-365.4	12	36	0.00	False
4	-186.8	8	18	0.00	False
5	-182.2	6	18	0.00	False
6	-121.8	4	12	0.00	False
7	-171.4	6	17	0.00	False
8	-462.6	17	45	0.00	False
9	-183.2	6	18	0.00	False
10	-225.8	9	22	0.00	False
11	-1487.4	52	146	0.00	False
12	-578.6	20	57	0.00	False
13	-828.6	37	80	0.00	False
14	-780.4	26	77	0.00	False
15	-1146.6	44	113	0.00	False
16	-292.2	10	29	0.00	False
17	-516.8	20	51	0.00	False
18	-1162.8	41	115	0.00	False
19	-2585.6	114	253	0.00	False
20	-620.8	36	60	0.00	False
21	-29244.8	1000	2901	0.00	True
22	-8501.2	364	825	0.00	False
23	-7804.2	276	773	0.00	False
24	-5114.8	450	456	0.00	False
25	-1813.2	90	174	0.00	False
26	-4972.6	185	492	0.00	False
27	-3870.8	429	322	0.00	False
28	-19208.8	836	1875	0.00	False
