episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-400.0,2,8,0.00,0,13.83,0.990
2,-3246.5,21,65,0.00,0,13.16,0.980
3,-550.1,3,11,0.00,0,13.83,0.970
4,-1992.2,18,40,0.00,0,12.45,0.961
5,-746.1,5,15,0.00,0,13.29,0.951
6,-11945.4,83,239,0.00,0,12.10,0.941
7,-550.1,3,11,0.00,0,13.83,0.932
8,-9943.9,66,199,0.00,0,12.26,0.923
9,-650.3,4,13,0.00,0,13.83,0.914
10,-1046.7,7,21,0.00,0,13.33,0.904
11,-746.8,5,15,0.00,0,13.37,0.895
12,-2796.7,18,56,0.00,0,13.22,0.886
13,-847.5,8,17,0.00,0,13.34,0.878
14,-12970.0,100,260,0.00,1,13.44,0.869
15,-5598.3,38,112,0.00,0,13.11,0.860
16,-850.3,5,17,0.00,0,13.83,0.851
17,-845.8,6,17,0.00,0,13.21,0.843
18,-899.2,7,18,0.00,0,13.61,0.835
19,-548.8,3,11,0.00,0,13.67,0.826
20,-3195.6,22,64,0.00,0,12.98,0.818
21,-744.7,6,15,0.00,0,13.06,0.810
22,-499.4,3,10,0.00,0,13.73,0.802
23,-8536.4,88,252,0.25,0,10.08,0.794
24,-7236.4,48,145,0.00,0,11.54,0.786
25,-12479.8,84,250,0.00,0,11.71,0.778
26,-14598.7,100,293,0.00,1,12.19,0.770
27,-9102.7,62,183,0.00,0,10.42,0.762
28,-2203.3,44,125,0.25,0,10.56,0.755
29,-599.6,4,12,0.00,0,13.73,0.747
30,-2688.3,20,54,0.00,0,12.04,0.740
31,-4690.6,31,94,0.00,0,12.28,0.732
32,291.1,41,75,0.25,0,9.11,0.725
33,-949.1,6,19,0.00,0,13.66,0.718
34,-3333.8,31,67,0.00,0,11.18,0.711
35,-5795.0,38,116,0.00,0,12.75,0.703
36,-1591.5,13,32,0.00,0,12.52,0.696
37,19792.8,48,86,0.25,0,7.00,0.689
38,-1546.3,12,31,0.00,0,13.15,0.683
39,-599.1,4,12,0.00,0,13.67,0.676
40,-3351.0,53,148,0.25,0,10.84,0.669
41,-4983.4,33,100,0.00,0,11.42,0.662
42,-910.8,34,99,0.25,0,10.31,0.656
43,-1841.1,17,37,0.00,0,12.34,0.649
44,-2759.4,46,136,0.25,0,11.13,0.643
45,138408.9,100,193,0.25,1,6.88,0.636
46,29908.7,31,43,0.25,0,7.40,0.630
47,-6255.4,63,126,0.00,0,8.81,0.624
48,-6579.9,66,133,0.00,0,7.62,0.617
49,-2255.8,42,126,0.25,0,9.41,0.611
50,-2191.6,15,44,0.00,0,12.58,0.605
51,-1889.3,14,38,0.00,0,12.27,0.599
52,130.5,29,78,0.25,0,10.32,0.593
53,90626.4,72,70,0.75,0,3.58,0.587
54,-4136.0,41,84,0.00,0,7.11,0.581
55,-3107.9,50,143,0.25,0,8.80,0.575
56,-794.0,8,16,0.00,0,12.88,0.570
57,-1889.1,43,119,0.25,0,10.31,0.564
58,-1659.5,39,114,0.25,0,9.86,0.558
59,-1193.9,10,24,0.00,0,12.87,0.553
60,26176.5,40,78,0.50,0,6.05,0.547
61,-4487.3,63,171,0.25,0,7.55,0.542
62,-657.1,35,94,0.25,0,10.30,0.536
63,681.4,25,67,0.25,0,10.31,0.531
64,-3596.5,51,153,0.25,0,9.41,0.526
65,8172.3,39,78,0.50,0,6.93,0.520
66,53772.8,45,86,0.50,0,6.08,0.515
67,-6774.4,75,217,0.25,0,8.76,0.510
68,106153.8,100,81,0.25,1,3.64,0.505
69,43610.8,58,90,0.50,0,4.11,0.500
70,6673.4,35,68,0.50,0,6.56,0.495
71,-2042.5,25,42,0.00,0,7.41,0.490
72,72.5,40,80,0.25,0,6.95,0.485
73,1177.7,21,57,0.25,0,10.72,0.480
74,-400.0,2,8,0.00,0,13.83,0.475
75,-793.8,5,16,0.00,0,13.00,0.471
76,15251.6,50,97,0.50,0,5.18,0.466
77,-856.8,34,98,0.25,0,9.80,0.461
78,7259.5,28,56,0.50,0,8.00,0.457
79,24482.3,33,32,0.50,0,4.95,0.452
80,89598.2,50,50,0.75,0,3.35,0.448
81,1762.4,28,46,0.25,0,6.84,0.443
82,58230.7,42,38,0.75,0,2.50,0.439
83,26678.5,34,68,0.50,0,8.00,0.434
84,-5450.3,42,110,0.00,0,8.10,0.430
85,2147.6,19,38,0.25,0,8.79,0.426
86,-1253.5,38,106,0.25,0,8.31,0.421
87,33024.5,36,22,0.50,0,2.12,0.417
88,20089.0,41,80,0.50,0,7.45,0.413
89,50019.9,44,42,0.75,0,2.92,0.409
90,-2784.2,18,56,0.00,0,12.06,0.405
91,11790.8,22,45,0.25,0,8.95,0.401
92,14555.3,54,72,0.50,0,3.76,0.397
93,-1754.6,42,116,0.25,0,8.20,0.393
94,3419.1,32,14,0.25,0,3.00,0.389
95,42420.0,41,73,0.50,0,6.06,0.385
96,13960.0,26,42,0.25,0,7.48,0.381
97,16031.6,30,41,0.50,0,4.43,0.377
98,622.7,34,69,0.25,0,6.82,0.373
99,-1028.3,44,102,0.25,0,6.34,0.370
100,-840.1,6,17,0.00,0,12.50,0.366
