episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-2698.0,23,54,0.00,0,13.11,0.997
2,-595.5,4,12,0.00,0,13.21,0.994
3,-4592.1,33,92,0.00,0,12.35,0.991
4,-2246.3,17,45,0.00,0,13.08,0.988
5,-497.1,4,10,0.00,0,13.40,0.985
6,-10388.6,75,208,0.00,0,11.26,0.982
7,-3450.1,23,69,0.00,0,13.55,0.979
8,-847.6,7,17,0.00,0,13.39,0.976
9,-1596.2,12,32,0.00,0,13.15,0.973
10,-1697.5,12,34,0.00,0,13.34,0.970
11,-795.9,6,16,0.00,0,13.22,0.967
12,-1698.2,13,34,0.00,0,13.38,0.965
13,-3298.8,24,66,0.00,0,13.31,0.962
14,-798.3,5,16,0.00,0,13.57,0.959
15,-947.7,8,19,0.00,0,13.38,0.956
16,-548.7,3,11,0.00,0,13.65,0.953
17,-2046.9,14,41,0.00,0,13.25,0.950
18,-2097.9,14,42,0.00,0,13.39,0.947
19,-2843.5,21,57,0.00,0,12.68,0.945
20,-3701.4,24,74,0.00,0,13.73,0.942
21,-3251.9,21,65,0.00,0,13.83,0.939
22,-8053.0,53,161,0.00,0,13.57,0.936
23,-1298.1,12,26,0.00,0,13.31,0.933
24,-1014.6,38,101,0.25,0,9.90,0.930
25,-1549.5,10,31,0.00,0,13.66,0.928
26,-27270.2,195,545,0.00,0,14.41,0.925
27,-1895.1,12,38,0.00,0,13.10,0.922
28,-500.2,3,10,0.00,0,13.83,0.919
29,-550.1,3,11,0.00,0,13.83,0.917
30,-400.0,2,8,0.00,0,13.83,0.914
31,-550.1,3,11,0.00,0,13.83,0.911
32,-497.0,3,10,0.00,0,13.43,0.908
33,-999.6,6,20,0.00,0,13.73,0.906
34,236856.9,195,385,0.25,0,9.51,0.903
35,-5747.4,39,115,0.00,0,13.08,0.900
36,-744.3,6,15,0.00,0,13.00,0.897
37,-1347.7,10,27,0.00,0,13.38,0.895
38,-12989.1,86,260,0.00,0,11.42,0.892
39,-794.1,6,16,0.00,0,13.00,0.889
40,-8754.4,58,175,0.00,0,13.67,0.887
41,-1243.9,10,25,0.00,0,12.88,0.884
42,-650.3,4,13,0.00,0,13.83,0.881
43,-3503.1,54,151,0.25,0,10.38,0.879
44,-650.3,4,13,0.00,0,13.83,0.876
45,-3448.4,23,69,0.00,0,13.34,0.874
46,-2344.3,15,47,0.00,0,12.96,0.871
47,-15450.5,104,310,0.00,0,9.64,0.868
48,-8211.8,83,245,0.25,0,9.81,0.866
49,-16610.4,138,413,0.25,0,10.25,0.863
50,-1448.0,10,29,0.00,0,13.44,0.861
51,-646.3,4,13,0.00,0,13.33,0.858
52,-1396.3,11,28,0.00,0,13.17,0.855
53,-799.1,5,16,0.00,0,13.67,0.853
54,-3588.8,28,72,0.00,0,11.94,0.850
55,-949.7,6,19,0.00,0,13.73,0.848
56,-400.0,2,8,0.00,0,13.83,0.845
57,-2400.8,16,48,0.00,0,13.73,0.843
58,-4295.6,28,86,0.00,0,12.96,0.840
59,-11236.2,79,225,0.00,0,11.33,0.838
60,-799.5,6,16,0.00,0,13.67,0.835
61,-498.4,3,10,0.00,0,13.61,0.833
62,-4897.1,36,98,0.00,0,12.90,0.830
63,-1990.9,16,40,0.00,0,12.40,0.828
64,-1197.3,9,24,0.00,0,13.34,0.825
65,-2012.3,41,121,0.25,0,11.25,0.823
66,-3493.2,23,70,0.00,0,12.70,0.820
67,-13354.6,90,267,0.00,0,13.24,0.818
68,-8641.4,58,173,0.00,0,12.02,0.815
69,-973.8,34,100,0.25,0,11.13,0.813
70,-1450.1,11,29,0.00,0,13.66,0.810
71,-2532.8,20,51,0.00,0,11.32,0.808
72,-1146.7,8,23,0.00,0,13.31,0.805
73,-776.5,33,96,0.25,0,11.36,0.803
74,-5923.3,41,119,0.00,0,11.38,0.801
75,-4346.1,30,87,0.00,0,12.93,0.798
76,-2500.0,16,50,0.00,0,13.66,0.796
77,-3434.8,29,69,0.00,0,11.35,0.793
78,-4983.3,36,100,0.00,0,11.19,0.791
79,20124.4,47,79,0.50,0,6.41,0.789
80,-3048.8,48,142,0.25,0,9.93,0.786
81,-16370.0,138,409,0.25,0,9.49,0.784
82,-997.8,6,20,0.00,0,13.51,0.782
83,-3015.6,52,141,0.25,0,10.11,0.779
84,-2541.7,17,51,0.00,0,12.58,0.777
85,-5598.1,70,193,0.25,0,10.06,0.775
86,-3041.9,20,61,0.00,0,12.58,0.772
87,-3002.2,67,142,0.25,0,8.08,0.770
88,-1340.8,10,27,0.00,0,12.52,0.768
89,-565.7,35,92,0.25,0,10.08,0.765
90,-3244.8,23,65,0.00,0,12.84,0.763
91,-3593.6,54,153,0.25,0,8.96,0.761
92,-3295.2,22,66,0.00,0,12.96,0.758
93,-498.4,3,10,0.00,0,13.61,0.756
94,-1765.9,40,116,0.25,0,9.71,0.754
95,13445.2,106,175,0.50,0,6.24,0.752
96,-498.0,3,10,0.00,0,13.56,0.749
97,-2547.8,17,51,0.00,0,13.34,0.747
98,-3393.6,22,68,0.00,0,12.78,0.745
99,-1148.7,7,23,0.00,0,13.61,0.743
100,197300.5,136,256,0.50,0,3.59,0.740
101,-3985.2,32,80,0.00,0,11.59,0.738
102,-1736.9,12,35,0.00,0,12.03,0.736
103,-1349.6,9,27,0.00,0,13.67,0.734
104,-2555.6,44,132,0.25,0,10.25,0.732
105,-1126.4,36,103,0.25,0,11.13,0.729
106,45267.4,49,96,0.50,0,7.74,0.727
107,-1998.0,13,40,0.00,0,13.44,0.725
108,-12486.0,123,332,0.25,0,6.75,0.723
109,-6113.4,41,123,0.00,0,11.71,0.721
110,-797.8,5,16,0.00,0,13.51,0.719
111,-2391.8,17,48,0.00,0,12.56,0.716
112,-7371.4,75,149,0.00,0,8.40,0.714
113,-1299.2,10,26,0.00,0,13.56,0.712
114,-2126.1,18,43,0.00,0,11.11,0.710
115,-4098.7,27,82,0.00,0,13.34,0.708
116,-2757.0,51,136,0.25,0,8.30,0.706
117,-1143.0,8,23,0.00,0,12.85,0.704
118,-1195.5,10,24,0.00,0,13.07,0.702
119,-2536.0,18,51,0.00,0,11.81,0.699
120,-9503.6,68,191,0.00,0,7.74,0.697
121,-3467.4,29,70,0.00,0,9.18,0.695
122,-3924.6,27,79,0.00,0,11.01,0.693
123,-894.2,7,18,0.00,0,12.98,0.691
124,-2273.3,42,126,0.25,0,11.36,0.689
125,481.4,35,71,0.25,0,10.09,0.687
126,93709.3,83,167,0.25,0,7.27,0.685
127,-1790.1,15,36,0.00,0,12.30,0.683
128,93657.9,106,209,0.50,0,7.82,0.681
129,-5379.2,36,108,0.00,0,10.78,0.679
130,892.6,25,63,0.25,0,9.92,0.677
131,22197.0,38,38,0.25,0,4.01,0.675
132,-1981.2,15,40,0.00,0,11.24,0.673
133,38488.6,71,74,0.25,0,4.37,0.671
134,-2450.6,44,130,0.25,0,11.36,0.669
135,19838.8,48,85,0.50,0,7.60,0.667
136,-2270.1,22,46,0.00,0,10.42,0.665
137,-744.2,6,15,0.00,0,12.99,0.663
138,-2227.5,17,45,0.00,0,10.73,0.661
139,-5180.8,58,104,0.00,0,9.83,0.659
140,-1310.8,36,107,0.25,0,10.15,0.657
141,45649.7,96,170,0.50,0,4.83,0.655
142,-3044.2,57,142,0.25,0,7.98,0.653
143,56087.1,64,120,0.50,0,5.28,0.651
144,-1994.2,13,40,0.00,0,12.96,0.649
145,-946.6,37,100,0.25,0,10.26,0.647
146,-5238.9,62,186,0.25,0,11.36,0.645
147,-800.4,5,16,0.00,0,13.83,0.643
148,16825.7,35,65,0.50,0,7.38,0.641
149,107969.7,102,203,0.50,0,5.61,0.639
150,-4956.3,39,100,0.00,0,9.29,0.637
151,-4711.4,61,175,0.25,0,9.41,0.635
152,-2917.8,28,59,0.00,0,9.84,0.633
153,-2183.2,16,44,0.00,0,11.49,0.631
154,-5602.8,68,193,0.25,0,10.15,0.630
155,120608.9,108,192,0.50,0,3.54,0.628
156,987.3,25,61,0.25,0,9.83,0.626
157,-545.6,4,11,0.00,0,13.21,0.624
158,-6721.6,73,216,0.25,0,10.82,0.622
159,-6538.6,45,131,0.00,0,11.80,0.620
160,-211.6,31,85,0.25,0,9.63,0.618
161,1488.1,21,51,0.25,0,9.95,0.616
162,-3431.2,25,69,0.00,0,11.09,0.615
163,-497.1,3,10,0.00,0,13.44,0.613
164,841.4,24,64,0.25,0,10.24,0.611
165,227.6,28,76,0.25,0,10.53,0.609
166,29805.2,50,86,0.50,0,6.59,0.607
167,52859.9,65,65,0.75,0,2.47,0.605
168,52177.7,64,118,0.50,0,6.49,0.604
169,52671.4,54,108,0.50,0,6.93,0.602
170,13487.1,53,92,0.50,0,5.48,0.600
171,37644.8,66,129,0.50,0,6.71,0.598
172,-747.3,5,15,0.00,0,13.44,0.596
173,47573.1,48,90,0.50,0,6.28,0.595
174,-1041.9,9,21,0.00,0,12.63,0.593
175,68201.7,79,158,0.50,0,6.05,0.591
176,785.9,26,65,0.25,0,9.80,0.589
177,-597.7,4,12,0.00,0,13.50,0.588
178,-5058.1,39,102,0.00,0,9.69,0.586
179,137098.7,73,61,0.75,0,1.80,0.584
180,39670.3,46,88,0.50,0,6.49,0.582
181,47098.7,52,100,0.50,0,7.12,0.581
182,3227.9,30,57,0.25,0,7.42,0.579
183,143135.2,65,60,0.75,0,2.92,0.577
184,23008.6,53,102,0.50,0,5.17,0.575
185,737.6,25,66,0.25,0,10.37,0.574
186,53990.3,45,43,0.75,0,4.42,0.572
187,18873.0,55,104,0.50,0,6.05,0.570
188,861.8,31,64,0.25,0,7.30,0.568
189,-3733.4,26,75,0.00,0,11.39,0.567
190,105590.3,71,130,0.50,0,4.95,0.565
191,-2900.3,32,59,0.00,0,7.94,0.563
192,647.5,30,68,0.25,0,9.07,0.562
193,-1460.1,38,110,0.25,0,10.65,0.560
194,45083.7,53,100,0.50,0,6.84,0.558
195,-1733.6,52,117,0.25,0,4.51,0.557
196,31414.8,55,94,0.50,0,4.66,0.555
197,-7926.6,83,240,0.25,0,8.11,0.553
198,37327.8,49,95,0.50,0,7.42,0.552
199,-597.3,4,12,0.00,0,13.44,0.550
200,68144.8,40,0,1.00,0,0.00,0.548
201,5782.7,45,86,0.50,0,5.88,0.547
202,43793.4,45,46,0.50,0,3.93,0.545
