Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-23.4	7	21	0.00	False
2	-190.6	58	149	0.00	False
3	-14.8	5	11	0.00	False
4	-76.0	24	61	0.00	False
5	-22.8	8	18	0.00	False
6	-30.0	9	26	0.00	False
7	-41.4	12	36	0.00	False
8	-19.4	7	16	0.00	False
9	-9.6	3	9	0.00	False
10	-54.2	18	46	0.00	False
11	-308.6	88	259	0.00	False
12	-198.2	60	179	0.00	False
13	-3189.0	1000	2935	0.00	True
14	736451.8	1000	1015	0.25	True
15	-793.6	275	717	0.00	False
16	-446.4	203	350	0.00	False
17	-2403.6	1000	1997	0.00	True
18	-2193.0	1000	1725	0.00	True
19	-958.6	391	806	0.00	False
20	-816.8	301	720	0.00	False
21	-2233.8	1000	1786	0.00	True
22	-1158.0	459	986	0.00	False
23	-2900.6	1000	2622	0.00	True
24	-2641.6	1000	2297	0.00	True
25	-2422.6	1000	2027	0.00	True
26	-1957.6	816	1531	0.00	False
27	-2702.6	1000	2372	0.00	True
28	-928.2	439	720	0.00	False
29	-2662.2	1000	2324	0.00	True
30	-1654.8	509	1317	0.00	False
31	-1571.0	791	1169	0.00	False
32	-2844.4	1000	2468	0.00	True
33	-381.4	222	221	0.00	False
34	-2113.0	727	1778	0.00	False
35	-2499.0	917	2063	0.00	False
36	-1845.4	590	1683	0.00	False
37	-1948.8	1000	1421	0.00	True
38	-2407.0	1000	1995	0.00	True
39	-2787.0	1000	2475	0.00	True
40	-2723.8	1000	2396	0.00	True
41	-273.0	110	230	0.00	False
42	1266684.2	655	1147	0.25	False
43	-2402.0	1000	2000	0.00	True
44	-2780.8	1000	2446	0.00	True
45	-1582.8	1000	851	0.00	True
46	-2058.4	658	1870	0.00	False
47	-3180.4	1000	2743	0.00	True
48	-403.0	153	332	0.00	False
49	-3028.0	1000	2765	0.00	True
50	-328.0	103	292	0.00	False
