Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-259.8	11	25	0.00	False
2	-336.0	12	33	0.00	False
3	-417.0	14	41	0.00	False
4	-213.2	8	21	0.00	False
5	-366.2	13	36	0.00	False
6	-709.0	26	69	0.00	False
7	-153.8	6	15	0.00	False
8	-183.0	7	18	0.00	False
9	-40.0	1	4	0.00	False
10	-141.2	5	14	0.00	False
11	-376.8	14	37	0.00	False
12	-326.4	11	32	0.00	False
13	-102.2	4	10	0.00	False
14	-134.4	5	13	0.00	False
15	-1593.0	53	157	0.00	False
16	-775.6	31	76	0.00	False
17	-1014.8	36	100	0.00	False
18	-592.4	31	57	0.00	False
19	-662.4	28	65	0.00	False
20	-411.2	19	40	0.00	False
21	-628.4	21	62	0.00	False
22	-91.2	22	7	0.00	False
23	-635.8	23	63	0.00	False
24	-482.8	24	47	0.00	False
25	-519.2	23	51	0.00	False
26	-277.8	14	27	0.00	False
27	-446.0	27	43	0.00	False
28	-300.6	18	29	0.00	False
29	-294.6	24	28	0.00	False
30	-1818.4	68	180	0.00	False
