Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-22.8	7	19	0.00	False
2	-153.8	44	127	0.00	False
3	-22.4	7	21	0.00	False
4	-37.6	10	32	0.00	False
5	-17.8	5	16	0.00	False
6	-14.4	4	14	0.00	False
7	-8.0	2	8	0.00	False
8	-246.4	71	207	0.00	False
9	-38.2	13	26	0.00	False
10	-43.2	12	37	0.00	False
11	-181.0	52	158	0.00	False
12	-21.8	6	20	0.00	False
13	-124.8	37	99	0.00	False
14	-34.0	10	30	0.00	False
15	-14.6	4	13	0.00	False
16	-18.6	6	16	0.00	False
17	-20.2	6	18	0.00	False
18	-8.0	2	8	0.00	False
19	-28.4	8	25	0.00	False
20	-10.4	3	10	0.00	False
21	-29.8	9	27	0.00	False
22	-26.6	8	24	0.00	False
23	-24.2	7	22	0.00	False
24	-36.6	11	31	0.00	False
25	-174.6	50	137	0.00	False
26	-64.0	19	56	0.00	False
27	-54.4	16	47	0.00	False
28	-32.4	9	29	0.00	False
29	-11.2	3	11	0.00	False
30	-11.2	3	11	0.00	False
31	-20.2	6	18	0.00	False
32	-15.4	4	14	0.00	False
33	-21.2	6	18	0.00	False
34	-9.6	3	9	0.00	False
35	-55.4	18	40	0.00	False
36	-43.6	17	25	0.00	False
37	-36.6	10	32	0.00	False
38	-15.6	5	12	0.00	False
39	-52.2	16	43	0.00	False
40	-85.2	25	74	0.00	False
41	-130.6	38	104	0.00	False
42	-35.2	12	27	0.00	False
43	-56.0	16	49	0.00	False
44	-34.4	12	26	0.00	False
45	-30.4	9	29	0.00	False
46	-45.0	14	36	0.00	False
47	-75.0	21	64	0.00	False
48	-231.8	66	200	0.00	False
49	-57.8	17	49	0.00	False
50	-44.6	13	39	0.00	False
51	-14.4	4	14	0.00	False
52	-21.2	7	17	0.00	False
53	-15.4	4	14	0.00	False
54	-17.6	5	17	0.00	False
55	-12.0	4	11	0.00	False
56	-18.6	5	17	0.00	False
57	-13.8	4	12	0.00	False
58	-311.0	92	258	0.00	False
59	-25.8	8	23	0.00	False
60	-38.0	12	33	0.00	False
61	-10.4	3	10	0.00	False
62	-67.4	20	58	0.00	False
63	-60.4	17	51	0.00	False
64	-23.6	7	20	0.00	False
65	-101.8	32	79	0.00	False
66	-16.2	5	14	0.00	False
67	-548.0	162	453	0.00	False
68	-43.2	12	37	0.00	False
69	-87.2	31	63	0.00	False
70	-17.0	5	15	0.00	False
71	-55.4	18	45	0.00	False
72	-268.0	76	229	0.00	False
73	-100.2	30	79	0.00	False
74	-41.4	14	34	0.00	False
75	-86.0	29	56	0.00	False
76	-15.6	5	12	0.00	False
77	-360.4	104	304	0.00	False
78	-21.0	7	18	0.00	False
79	-20.0	6	19	0.00	False
80	-8.8	3	8	0.00	False
81	-46.6	16	31	0.00	False
82	-17.0	5	15	0.00	False
83	-28.6	9	23	0.00	False
84	-72.2	22	57	0.00	False
85	-155.0	44	131	0.00	False
86	-17.6	5	17	0.00	False
87	-64.8	19	57	0.00	False
88	-28.8	10	21	0.00	False
89	3911.2	28	81	0.25	False
90	-252.2	82	157	0.00	False
91	-188.8	57	149	0.00	False
92	-57.6	19	43	0.00	False
93	-146.0	45	115	0.00	False
94	-28.8	9	22	0.00	False
95	-117.4	38	85	0.00	False
96	-45.8	14	37	0.00	False
97	-47.8	14	42	0.00	False
98	-363.4	108	295	0.00	False
99	-20.2	6	18	0.00	False
100	-19.4	6	17	0.00	False
101	-64.8	22	44	0.00	False
102	-33.6	11	26	0.00	False
103	-17.8	5	16	0.00	False
104	-61.6	19	48	0.00	False
105	-18.6	5	17	0.00	False
106	-126.4	38	105	0.00	False
107	-118.0	35	100	0.00	False
108	-216.4	62	186	0.00	False
109	-36.0	11	29	0.00	False
110	-12.8	4	12	0.00	False
111	-63.0	19	56	0.00	False
112	-211.6	64	163	0.00	False
113	-17.6	6	16	0.00	False
114	-18.6	6	16	0.00	False
115	-12.0	4	11	0.00	False
116	-170.2	51	138	0.00	False
117	-28.6	8	24	0.00	False
118	-35.0	10	30	0.00	False
119	-497.6	143	424	0.00	False
120	3691.8	90	262	0.25	False
121	-42.4	12	36	0.00	False
122	-24.4	7	21	0.00	False
