episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-12153.2,86,243,0.00,0,12.97,0.990
2,-1298.3,10,26,0.00,0,13.45,0.980
3,-1099.3,7,22,0.00,0,13.67,0.970
4,-1241.4,11,25,0.00,0,12.52,0.961
5,-5702.5,54,114,0.00,0,12.87,0.951
6,-2645.3,18,53,0.00,0,13.01,0.941
7,-1198.6,8,24,0.00,0,13.56,0.932
8,-1999.6,14,40,0.00,0,13.59,0.923
9,-1345.1,12,27,0.00,0,12.95,0.914
10,-1501.0,10,30,0.00,0,13.83,0.904
11,-800.4,5,16,0.00,0,13.83,0.895
12,89931.9,85,162,0.25,0,10.72,0.886
13,-1646.7,11,33,0.00,0,13.28,0.878
14,-646.1,5,13,0.00,0,13.26,0.869
15,-1651.1,11,33,0.00,0,13.83,0.860
16,-1146.7,7,23,0.00,0,13.36,0.851
17,-9043.1,66,181,0.00,0,11.93,0.843
18,-13322.0,121,348,0.25,0,7.87,0.835
19,-7978.4,60,160,0.00,0,10.13,0.826
20,-987.0,8,20,0.00,0,12.05,0.818
21,-899.1,6,18,0.00,0,13.64,0.810
22,-1047.9,7,21,0.00,0,13.48,0.802
23,-549.3,3,11,0.00,0,13.73,0.794
24,-3889.0,30,78,0.00,0,11.93,0.786
25,-4786.8,35,96,0.00,0,11.63,0.778
26,-6062.4,69,202,0.25,0,9.24,0.770
27,-12839.6,107,258,0.00,0,7.37,0.762
28,-746.0,5,15,0.00,0,13.27,0.755
29,-400.0,2,8,0.00,0,13.83,0.747
30,-446.7,3,9,0.00,0,13.38,0.740
31,-1100.6,7,22,0.00,0,13.83,0.732
32,-3737.1,25,75,0.00,0,11.91,0.725
33,-945.1,8,19,0.00,0,13.06,0.718
34,122218.8,82,157,0.50,0,6.05,0.711
35,213258.3,139,257,0.50,0,7.17,0.703
36,-3860.0,67,159,0.25,0,7.70,0.696
37,-454.9,31,90,0.25,0,11.07,0.689
38,-696.6,4,14,0.00,0,13.38,0.683
39,-1340.8,11,27,0.00,0,12.48,0.676
40,1079.1,29,59,0.25,0,10.28,0.669
41,-550.1,3,11,0.00,0,13.83,0.662
42,-9109.8,65,183,0.00,0,10.10,0.656
43,-9891.2,96,279,0.25,0,8.96,0.649
44,26459.9,37,72,0.50,0,7.60,0.643
45,-4635.9,45,94,0.00,0,8.44,0.636
46,16903.1,75,144,0.50,0,8.00,0.630
47,3.2,33,81,0.25,0,7.98,0.624
48,-640.5,41,94,0.25,0,8.81,0.617
49,-846.1,6,17,0.00,0,13.26,0.611
50,-3876.8,27,78,0.00,0,11.07,0.605
