episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1249.1,11,25,0.00,0,13.48,0.997
2,-5044.0,35,101,0.00,0,12.69,0.994
3,-400.0,2,8,0.00,0,13.83,0.991
4,-500.2,3,10,0.00,0,13.83,0.988
5,-3047.6,22,61,0.00,0,13.19,0.985
6,-1045.5,8,21,0.00,0,13.13,0.982
7,-948.3,7,19,0.00,0,13.51,0.979
8,-1148.5,9,23,0.00,0,13.49,0.976
9,-797.9,6,16,0.00,0,13.47,0.973
10,-1195.9,9,24,0.00,0,13.17,0.970
11,-695.9,5,14,0.00,0,13.24,0.967
12,-798.1,5,16,0.00,0,13.55,0.965
13,-496.2,4,10,0.00,0,13.28,0.962
14,-850.3,5,17,0.00,0,13.83,0.959
15,-14437.4,100,290,0.00,0,12.82,0.956
16,-5642.8,48,113,0.00,0,11.94,0.953
17,-548.3,3,11,0.00,0,13.61,0.950
18,-850.3,5,17,0.00,0,13.83,0.947
19,-19260.7,132,385,0.00,0,13.38,0.945
20,-1051.1,8,21,0.00,0,13.83,0.942
21,-1489.8,13,30,0.00,0,12.28,0.939
22,-7741.3,54,155,0.00,0,11.98,0.936
23,-947.6,6,19,0.00,0,13.47,0.933
24,-2551.1,19,51,0.00,0,13.66,0.930
25,-798.8,5,16,0.00,0,13.63,0.928
26,-1351.3,10,27,0.00,0,13.83,0.925
27,-497.9,4,10,0.00,0,13.50,0.922
28,-2599.2,20,52,0.00,0,13.38,0.919
29,-400.0,2,8,0.00,0,13.83,0.917
30,-4193.4,28,84,0.00,0,12.65,0.914
31,-849.3,6,17,0.00,0,13.66,0.911
32,-2043.9,15,41,0.00,0,12.84,0.908
33,-550.1,3,11,0.00,0,13.83,0.906
34,-1694.3,15,34,0.00,0,12.79,0.903
35,-9792.4,82,196,0.00,0,11.35,0.900
36,-797.2,6,16,0.00,0,13.38,0.897
37,-1000.0,7,20,0.00,0,13.73,0.895
38,-1045.0,7,21,0.00,0,13.11,0.892
39,-1648.5,11,33,0.00,0,13.51,0.889
40,-798.0,6,16,0.00,0,13.48,0.887
41,-2038.6,15,41,0.00,0,12.17,0.884
42,-644.5,5,13,0.00,0,13.06,0.881
43,-15020.1,100,301,0.00,0,10.65,0.879
44,-2644.8,21,53,0.00,0,12.80,0.876
45,-594.3,5,12,0.00,0,13.02,0.874
46,-4598.4,61,173,0.25,0,9.79,0.871
47,-3048.0,32,61,0.00,0,12.75,0.868
48,-698.4,4,14,0.00,0,13.61,0.866
49,-1048.6,7,21,0.00,0,13.56,0.863
50,-549.1,4,11,0.00,0,13.66,0.861
51,-1496.8,16,30,0.00,0,13.00,0.858
52,-3685.5,34,74,0.00,0,11.29,0.855
53,-4202.8,28,84,0.00,0,13.83,0.853
54,-3993.3,31,80,0.00,0,12.44,0.850
55,-1942.5,13,39,0.00,0,12.73,0.848
56,-400.0,2,8,0.00,0,13.83,0.845
57,-12639.8,114,334,0.25,0,8.84,0.843
58,-11882.9,81,238,0.00,0,10.63,0.840
59,-548.3,3,11,0.00,0,13.61,0.838
60,-20722.6,166,495,0.25,0,9.41,0.835
61,-11402.9,76,228,0.00,0,13.24,0.833
62,-1098.4,7,22,0.00,0,13.56,0.830
63,-798.2,5,16,0.00,0,13.56,0.828
64,2444.4,35,72,0.25,0,8.70,0.825
65,64986.6,70,141,0.25,0,9.91,0.823
66,-1497.4,10,30,0.00,0,13.38,0.820
67,-11401.0,105,309,0.25,0,8.84,0.818
68,-897.0,6,18,0.00,0,13.38,0.815
