Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-38.0	11	34	0.00	False
2	-95.6	29	63	0.00	False
3	-9.0	3	7	0.00	False
4	-19.6	6	16	0.00	False
5	-53.6	19	28	0.00	False
6	-98.0	28	82	0.00	False
7	-20.6	7	15	0.00	False
8	-9.0	3	7	0.00	False
9	-678.6	199	578	0.00	False
10	-34.0	14	21	0.00	False
11	-132.6	44	73	0.00	False
12	-179.4	57	151	0.00	False
13	-2408.6	1000	1972	0.00	True
14	54731.4	1000	579	0.25	True
15	-2440.2	1000	2039	0.00	True
16	-1583.8	1000	966	0.00	True
17	-2548.2	1000	2164	0.00	True
18	-40.6	24	23	0.00	False
19	-2287.4	1000	1843	0.00	True
20	-2241.8	1000	1791	0.00	True
21	-3016.0	1000	2765	0.00	True
22	-2585.8	1000	2216	0.00	True
23	-2326.6	1000	1897	0.00	True
24	-3050.6	1000	2802	0.00	True
25	-2385.6	1000	1962	0.00	True
