episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1301.0,9,26,0.00,0,13.83,0.990
2,-12863.6,110,258,0.00,0,10.22,0.980
3,-697.6,5,14,0.00,0,13.46,0.970
4,-2649.1,18,53,0.00,0,13.48,0.961
5,-1799.0,12,36,0.00,0,13.55,0.951
6,-800.4,5,16,0.00,0,13.83,0.941
7,-748.4,5,15,0.00,0,13.56,0.932
8,-5049.6,34,101,0.00,0,13.34,0.923
9,-1093.9,13,22,0.00,0,12.70,0.914
10,-6752.5,50,135,0.00,0,13.33,0.904
11,-13745.6,91,275,0.00,0,12.17,0.895
12,-8981.3,60,180,0.00,0,11.75,0.886
13,-550.1,3,11,0.00,0,13.83,0.878
14,-1000.0,7,20,0.00,0,13.73,0.869
15,-9725.0,66,195,0.00,0,12.82,0.860
16,-1989.7,18,40,0.00,0,12.14,0.851
17,-10011.9,67,201,0.00,0,11.64,0.843
18,-950.5,6,19,0.00,0,13.83,0.835
19,-4887.2,42,98,0.00,0,11.35,0.826
20,-6228.8,71,206,0.25,0,11.36,0.818
21,-1249.7,9,25,0.00,0,13.66,0.810
22,-3147.5,21,63,0.00,0,13.26,0.802
23,-2349.9,15,47,0.00,0,13.65,0.794
24,-498.4,3,10,0.00,0,13.61,0.786
25,-25287.9,170,508,0.00,0,11.16,0.778
26,-2987.0,24,60,0.00,0,11.75,0.770
27,-1749.6,11,35,0.00,0,13.67,0.762
28,-1697.0,12,34,0.00,0,13.29,0.755
29,-3982.4,27,80,0.00,0,11.64,0.747
30,-14010.4,135,362,0.25,0,5.89,0.740
31,-1350.0,10,27,0.00,0,13.67,0.732
32,-7542.4,85,232,0.25,0,8.41,0.725
33,-646.1,5,13,0.00,0,13.26,0.718
34,-2602.0,20,52,0.00,0,13.73,0.711
35,-1185.6,10,24,0.00,0,11.83,0.703
36,-3246.2,23,65,0.00,0,13.02,0.696
37,-8071.6,81,243,0.25,0,9.41,0.689
38,-6984.0,74,142,0.00,0,6.89,0.683
39,75611.5,67,129,0.25,0,6.95,0.676
40,70306.2,64,116,0.50,0,5.25,0.669
41,-15136.9,110,304,0.00,0,9.68,0.662
42,-551.6,34,92,0.25,0,10.12,0.656
43,-3379.3,28,68,0.00,0,10.70,0.649
44,-6747.7,84,217,0.25,0,8.55,0.643
45,-1647.6,11,33,0.00,0,13.39,0.636
46,-944.3,6,19,0.00,0,13.06,0.630
47,177227.3,99,99,0.75,0,3.35,0.624
48,-3683.6,24,74,0.00,0,11.50,0.617
49,16321.1,39,75,0.25,0,8.31,0.611
50,63681.1,46,48,0.50,0,4.70,0.605
51,-6703.5,73,215,0.25,0,8.99,0.599
52,113225.0,80,137,0.50,0,7.68,0.593
