episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-2297.7,16,46,0.00,0,26.36,0.997
2,-4300.3,29,86,0.00,0,26.53,0.994
3,-1049.3,7,21,0.00,0,26.70,0.991
4,-850.1,8,17,0.00,0,26.70,0.988
5,-700.2,4,14,0.00,0,26.87,0.985
6,-995.3,7,20,0.00,0,26.18,0.982
7,-993.0,8,20,0.00,0,25.84,0.979
8,-10150.0,67,203,0.00,0,26.05,0.976
9,-845.5,7,17,0.00,0,26.17,0.973
10,-6995.4,49,140,0.00,0,25.60,0.970
11,-550.1,3,11,0.00,0,26.87,0.967
12,-799.4,6,16,0.00,0,26.70,0.965
13,-1196.7,8,24,0.00,0,26.35,0.962
14,-2897.1,21,58,0.00,0,26.19,0.959
15,-550.1,3,11,0.00,0,26.87,0.956
16,-548.7,3,11,0.00,0,26.70,0.953
17,-599.0,4,12,0.00,0,26.70,0.950
18,-597.6,4,12,0.00,0,26.52,0.947
19,-400.0,2,8,0.00,0,26.87,0.945
20,-4345.9,32,87,0.00,0,25.84,0.942
21,-1095.5,8,22,0.00,0,26.19,0.939
22,-700.2,4,14,0.00,0,26.87,0.936
23,-1143.4,9,23,0.00,0,25.88,0.933
24,-550.1,3,11,0.00,0,26.87,0.930
25,-448.9,3,9,0.00,0,26.70,0.928
26,-1397.1,10,28,0.00,0,26.35,0.925
27,-1198.1,8,24,0.00,0,26.53,0.922
28,-2097.5,18,42,0.00,0,26.19,0.919
29,-11494.3,77,230,0.00,0,25.18,0.917
30,-746.4,5,15,0.00,0,26.35,0.914
31,-646.2,4,13,0.00,0,26.35,0.911
32,-6494.8,44,130,0.00,0,25.65,0.908
33,-30833.7,208,617,0.00,0,22.14,0.906
34,-2641.2,20,53,0.00,0,25.43,0.903
35,-5248.8,37,105,0.00,0,26.19,0.900
36,-848.9,5,17,0.00,0,26.70,0.897
37,-9185.9,70,184,0.00,0,23.91,0.895
38,-950.9,7,19,0.00,0,26.87,0.892
39,-4991.5,37,100,0.00,0,25.21,0.889
40,-25193.9,168,504,0.00,0,24.01,0.887
41,-850.3,5,17,0.00,0,26.87,0.884
42,-23266.2,155,466,0.00,0,20.90,0.881
43,-1249.7,9,25,0.00,0,26.70,0.879
44,-896.5,6,18,0.00,0,26.35,0.876
45,-795.7,7,16,0.00,0,26.18,0.874
46,-4993.5,36,100,0.00,0,25.51,0.871
47,-9242.2,62,185,0.00,0,25.10,0.868
48,-1550.9,10,31,0.00,0,26.87,0.866
49,-5630.6,49,113,0.00,0,23.41,0.863
50,-3997.5,30,80,0.00,0,26.05,0.861
51,-2694.7,24,54,0.00,0,25.69,0.858
52,-1891.4,15,38,0.00,0,25.52,0.855
53,-3495.1,23,70,0.00,0,25.99,0.853
54,-3193.6,21,64,0.00,0,25.82,0.850
55,-3140.5,22,63,0.00,0,25.37,0.848
56,-3095.4,21,62,0.00,0,26.02,0.845
57,-8485.5,59,170,0.00,0,24.23,0.843
58,-15468.5,105,310,0.00,0,21.56,0.840
59,-31029.2,212,622,0.00,0,19.08,0.838
60,-945.8,8,19,0.00,0,26.18,0.835
61,-10349.4,77,208,0.00,0,19.52,0.833
62,-1147.8,7,23,0.00,0,26.53,0.830
