episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1246.6,8,25,0.00,0,13.32,0.997
2,-400.0,2,8,0.00,0,13.83,0.994
3,-1294.8,9,26,0.00,0,13.06,0.991
4,-895.1,10,18,0.00,0,12.95,0.988
5,-18136.4,122,363,0.00,0,10.63,0.985
6,-498.4,3,10,0.00,0,13.61,0.982
7,-548.3,3,11,0.00,0,13.61,0.979
8,-1742.5,11,35,0.00,0,12.78,0.976
9,-1395.5,9,28,0.00,0,13.17,0.973
10,-747.9,5,15,0.00,0,13.51,0.970
11,-1200.0,8,24,0.00,0,13.73,0.967
12,-698.8,4,14,0.00,0,13.65,0.965
13,-2743.5,22,55,0.00,0,12.61,0.962
14,-2697.4,21,54,0.00,0,13.13,0.959
15,-20756.4,140,416,0.00,0,12.68,0.956
16,-1196.8,11,24,0.00,0,13.18,0.953
17,-2951.7,26,59,0.00,0,13.48,0.950
18,-2148.1,15,43,0.00,0,13.38,0.947
19,-550.1,3,11,0.00,0,13.83,0.945
20,-1097.5,8,22,0.00,0,13.39,0.942
21,-2242.5,18,45,0.00,0,12.56,0.939
22,-17744.0,121,355,0.00,0,11.46,0.936
23,-846.5,6,17,0.00,0,13.31,0.933
24,-748.7,5,15,0.00,0,13.61,0.930
25,-698.8,4,14,0.00,0,13.65,0.928
26,-549.3,3,11,0.00,0,13.73,0.925
27,-3196.9,21,64,0.00,0,13.19,0.922
28,-5245.5,36,105,0.00,0,12.78,0.919
29,-895.7,6,18,0.00,0,13.22,0.917
30,-2036.4,19,41,0.00,0,11.69,0.914
31,-10816.1,75,217,0.00,0,12.06,0.911
32,-2119.2,49,123,0.25,0,11.18,0.908
33,-3848.1,27,77,0.00,0,13.21,0.906
34,-697.5,5,14,0.00,0,13.44,0.903
35,-8758.9,63,176,0.00,0,10.35,0.900
36,-5277.6,37,106,0.00,0,10.91,0.897
37,-3552.1,23,71,0.00,0,13.83,0.895
38,-30135.8,206,603,0.00,0,10.33,0.892
39,-3347.9,65,148,0.25,0,8.91,0.889
40,-646.7,4,13,0.00,0,13.38,0.887
41,-45623.1,308,914,0.00,0,11.72,0.884
42,-1755.0,44,116,0.25,0,10.32,0.881
43,-11592.8,78,232,0.00,0,11.93,0.879
44,-700.2,4,14,0.00,0,13.83,0.876
45,-10218.9,75,205,0.00,0,9.13,0.874
46,-9079.0,70,182,0.00,0,10.90,0.871
47,-1998.0,13,40,0.00,0,13.44,0.868
48,-11899.9,79,238,0.00,0,12.84,0.866
49,-2301.2,18,46,0.00,0,13.65,0.863
50,-549.3,3,11,0.00,0,13.73,0.861
51,-2902.1,51,139,0.25,0,9.65,0.858
52,-550.1,3,11,0.00,0,13.83,0.855
53,-698.8,4,14,0.00,0,13.66,0.853
54,-9200.8,61,184,0.00,0,13.18,0.850
55,-8932.5,59,179,0.00,0,10.93,0.848
56,-2042.7,22,41,0.00,0,12.33,0.845
57,-3498.3,33,70,0.00,0,12.84,0.843
58,-1345.6,11,27,0.00,0,13.07,0.840
59,-3026.5,21,61,0.00,0,11.56,0.838
60,-4701.4,35,94,0.00,0,13.44,0.835
61,-13959.2,102,280,0.00,0,9.59,0.833
62,-993.7,8,20,0.00,0,12.89,0.830
63,-3284.6,22,66,0.00,0,11.63,0.828
64,-600.4,4,12,0.00,0,13.83,0.825
65,-1039.9,48,102,0.25,0,8.09,0.823
66,-1142.5,8,23,0.00,0,12.78,0.820
67,-3267.7,51,146,0.25,0,10.31,0.818
68,-1697.8,11,34,0.00,0,13.43,0.815
69,-5590.1,38,112,0.00,0,12.09,0.813
70,192436.1,161,314,0.50,0,7.68,0.810
71,-1643.2,12,33,0.00,0,12.79,0.808
72,-1596.6,10,32,0.00,0,13.31,0.805
73,-543.1,4,11,0.00,0,12.90,0.803
74,43649.1,63,128,0.25,0,8.45,0.801
75,-2240.3,16,45,0.00,0,12.38,0.798
76,-1354.7,37,108,0.25,0,11.13,0.796
77,-847.1,6,17,0.00,0,13.38,0.793
