episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-6118.7,47,123,0.00,0,11.26,0.997
2,-498.4,3,10,0.00,0,13.61,0.994
3,-18761.5,126,376,0.00,0,12.03,0.991
4,-6346.2,45,127,0.00,0,12.70,0.988
5,-1199.5,8,24,0.00,0,13.67,0.985
6,-746.1,5,15,0.00,0,13.28,0.982
7,-698.4,4,14,0.00,0,13.61,0.979
8,-2199.0,17,44,0.00,0,13.40,0.976
9,-3449.1,24,69,0.00,0,13.38,0.973
10,-6044.4,43,121,0.00,0,12.49,0.970
11,-3150.2,26,63,0.00,0,13.34,0.967
12,-10097.3,70,202,0.00,0,13.18,0.965
13,-1097.0,10,22,0.00,0,13.23,0.962
14,-696.8,6,14,0.00,0,13.30,0.959
15,-4342.5,29,87,0.00,0,12.53,0.956
16,-1944.7,13,39,0.00,0,13.00,0.953
17,-4244.2,32,85,0.00,0,12.56,0.950
18,-2794.1,22,56,0.00,0,12.69,0.947
19,-9920.7,70,199,0.00,0,10.54,0.945
20,-8810.5,107,259,0.25,0,9.02,0.942
21,-29488.3,197,591,0.00,0,10.99,0.939
22,-22474.1,173,450,0.00,0,8.99,0.936
23,-9512.8,98,272,0.25,0,10.30,0.933
24,-4095.5,28,82,0.00,0,12.89,0.930
25,-6042.3,42,121,0.00,0,12.32,0.928
26,-1993.2,15,40,0.00,0,12.73,0.925
27,-1397.5,10,28,0.00,0,13.37,0.922
28,-17974.7,129,360,0.00,0,11.20,0.919
29,-942.5,8,19,0.00,0,12.73,0.917
30,-1000.4,6,20,0.00,0,13.83,0.914
31,-2391.9,17,48,0.00,0,12.57,0.911
32,-798.6,5,16,0.00,0,13.61,0.908
33,-5300.7,36,106,0.00,0,13.44,0.906
34,-2793.8,20,56,0.00,0,12.76,0.903
35,-22010.4,152,440,0.00,0,13.03,0.900
36,-743.3,7,15,0.00,0,12.83,0.897
37,-797.4,6,16,0.00,0,13.40,0.895
38,-6793.8,46,136,0.00,0,12.46,0.892
39,-1796.7,12,36,0.00,0,13.27,0.889
40,-2489.5,23,50,0.00,0,11.99,0.887
41,-1596.6,11,32,0.00,0,13.26,0.884
42,-994.0,7,20,0.00,0,12.98,0.881
43,-1145.2,9,23,0.00,0,13.06,0.879
44,-4043.8,29,81,0.00,0,12.62,0.876
45,21725.9,97,128,0.50,0,4.71,0.874
46,-400.0,2,8,0.00,0,13.83,0.871
47,-1740.1,14,35,0.00,0,12.33,0.868
48,-2590.5,19,52,0.00,0,12.35,0.866
49,-498.8,3,10,0.00,0,13.66,0.863
50,-2487.6,21,50,0.00,0,11.85,0.861
51,-2892.1,23,58,0.00,0,12.42,0.858
52,-599.6,4,12,0.00,0,13.73,0.855
53,-2499.0,17,50,0.00,0,13.48,0.853
54,-10936.1,75,219,0.00,0,11.08,0.850
55,-2346.7,19,47,0.00,0,13.05,0.848
56,-4189.1,29,84,0.00,0,12.06,0.845
57,-12190.0,90,244,0.00,0,11.13,0.843
58,-750.5,5,15,0.00,0,13.83,0.840
59,-2593.6,19,52,0.00,0,12.73,0.838
60,-10415.5,97,289,0.25,0,11.36,0.835
61,-14086.6,121,363,0.25,0,10.25,0.833
62,-1544.0,12,31,0.00,0,12.87,0.830
63,-7833.5,52,157,0.00,0,11.61,0.828
64,-1696.7,12,34,0.00,0,13.25,0.825
65,-8919.4,76,179,0.00,0,8.51,0.823
66,-697.9,6,14,0.00,0,13.44,0.820
67,-698.8,5,14,0.00,0,13.61,0.818
68,-23062.8,154,462,0.00,0,12.63,0.815
69,33689.0,48,88,0.50,0,7.09,0.813
70,-2882.0,27,58,0.00,0,10.96,0.810
71,-3390.3,22,68,0.00,0,12.37,0.808
72,-2044.1,13,41,0.00,0,12.96,0.805
73,-1898.8,13,38,0.00,0,13.51,0.803
74,-1948.5,13,39,0.00,0,13.48,0.801
75,-899.2,6,18,0.00,0,13.66,0.798
76,211844.4,145,285,0.50,0,5.61,0.796
77,-1459.7,47,110,0.25,0,10.08,0.793
78,-11523.7,109,312,0.25,0,8.33,0.791
79,-448.9,3,9,0.00,0,13.65,0.789
80,-1891.0,15,38,0.00,0,12.43,0.786
81,-5244.9,62,186,0.25,0,10.48,0.784
82,-1094.6,7,22,0.00,0,13.08,0.782
83,-1246.7,9,25,0.00,0,13.28,0.779
84,-2701.4,19,54,0.00,0,13.73,0.777
85,-4762.0,64,176,0.25,0,9.86,0.775
86,47583.2,97,170,0.50,0,5.84,0.772
87,77784.8,106,207,0.50,0,7.82,0.770
88,84801.0,94,185,0.25,0,10.12,0.768
89,-1499.2,10,30,0.00,0,13.61,0.765
90,-1199.3,8,24,0.00,0,13.64,0.763
91,-5601.4,71,193,0.25,0,7.51,0.761
92,21127.3,69,139,0.25,0,6.41,0.758
93,111844.5,94,165,0.50,0,6.06,0.756
94,-1933.9,25,39,0.00,0,11.06,0.754
95,192705.1,136,268,0.50,0,6.49,0.752
96,-1564.0,40,112,0.25,0,11.36,0.749
97,-2099.4,57,123,0.25,0,8.20,0.747
98,-2079.6,19,42,0.00,0,10.85,0.745
99,-3933.9,27,79,0.00,0,11.45,0.743
100,-3605.8,55,153,0.25,0,8.74,0.740
101,-3053.2,57,142,0.25,0,9.68,0.738
102,-550.1,3,11,0.00,0,13.83,0.736
103,-1685.9,13,34,0.00,0,11.84,0.734
104,-6120.7,48,123,0.00,0,9.30,0.732
105,116556.3,92,151,0.50,0,5.50,0.729
106,-995.9,7,20,0.00,0,13.22,0.727
107,-1195.5,11,24,0.00,0,13.02,0.725
108,-1408.0,44,109,0.25,0,9.41,0.723
109,6021.7,43,81,0.50,0,7.13,0.721
110,-11833.1,81,238,0.00,0,9.54,0.719
111,-1146.4,9,23,0.00,0,13.22,0.716
112,-596.8,4,12,0.00,0,13.38,0.714
113,-2495.2,17,50,0.00,0,13.01,0.712
114,-848.1,6,17,0.00,0,13.51,0.710
115,-5560.3,65,192,0.25,0,9.98,0.708
116,-2360.1,44,128,0.25,0,10.31,0.706
117,-7852.2,82,239,0.25,0,10.73,0.704
118,-597.7,5,12,0.00,0,13.44,0.702
119,-2094.8,15,42,0.00,0,12.96,0.699
120,-113.2,29,83,0.25,0,10.94,0.697
121,100078.9,80,160,0.50,0,6.93,0.695
122,595.9,30,69,0.25,0,9.93,0.693
123,-6174.0,54,125,0.00,0,8.30,0.691
124,-238.4,60,87,0.25,0,2.40,0.689
125,-994.6,8,20,0.00,0,13.00,0.687
126,-2185.5,17,44,0.00,0,11.71,0.685
127,137760.4,107,207,0.25,0,8.50,0.683
128,-798.6,5,16,0.00,0,13.61,0.681
129,-2217.0,43,125,0.25,0,10.25,0.679
130,-2691.8,20,54,0.00,0,12.48,0.677
131,74264.3,99,198,0.25,0,6.96,0.675
132,23005.6,37,61,0.25,0,7.60,0.673
133,-4191.3,56,165,0.25,0,10.09,0.671
134,-2955.4,50,140,0.25,0,9.76,0.669
135,208028.6,77,42,0.75,0,0.71,0.667
136,-1983.8,17,40,0.00,0,11.46,0.665
137,-1041.4,45,102,0.25,0,8.68,0.663
138,11894.1,73,124,0.50,0,4.71,0.661
139,-3927.2,30,79,0.00,0,10.47,0.659
140,123217.3,89,177,0.50,0,6.84,0.657
141,-1989.5,16,40,0.00,0,12.22,0.655
142,-3485.4,26,70,0.00,0,11.59,0.653
143,-996.1,8,20,0.00,0,13.19,0.651
144,-3057.6,48,142,0.25,0,10.38,0.649
145,-1056.7,38,102,0.25,0,9.93,0.647
146,-5901.9,53,119,0.00,0,7.14,0.645
147,-2088.0,15,42,0.00,0,12.11,0.643
148,-2730.3,22,55,0.00,0,10.96,0.641
149,-5866.8,53,119,0.00,0,7.96,0.639
150,-3677.9,25,74,0.00,0,10.79,0.637
151,51617.7,51,89,0.50,0,6.56,0.635
152,-4817.7,35,97,0.00,0,11.34,0.633
153,-454.7,37,90,0.25,0,9.19,0.631
154,-1442.5,10,29,0.00,0,12.75,0.630
155,-3312.4,51,147,0.25,0,9.14,0.628
156,-4257.8,59,166,0.25,0,8.61,0.626
157,-3402.5,51,149,0.25,0,8.76,0.624
158,291.9,28,75,0.25,0,10.28,0.622
159,-4810.8,37,97,0.00,0,8.30,0.620
160,143523.0,63,52,0.75,0,2.37,0.618
161,-2704.9,51,135,0.25,0,10.07,0.616
162,-895.7,6,18,0.00,0,13.21,0.615
163,43948.7,60,83,0.50,0,3.63,0.613
164,-597.6,4,12,0.00,0,13.48,0.611
165,-843.9,6,17,0.00,0,12.98,0.609
166,-1497.0,11,30,0.00,0,13.28,0.607
167,-5895.2,72,199,0.25,0,6.96,0.605
168,-994.1,7,20,0.00,0,13.00,0.604
169,-4959.7,41,100,0.00,0,8.68,0.602
170,-1001.5,36,101,0.25,0,10.26,0.600
171,-740.3,41,96,0.25,0,8.00,0.598
172,-1097.4,8,22,0.00,0,13.38,0.596
