Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-7.2	2	7	0.00	False
2	-36.2	11	28	0.00	False
3	-26.8	8	23	0.00	False
4	-86.2	24	70	0.00	False
5	-36.0	11	29	0.00	False
6	-104.6	32	85	0.00	False
7	-256.2	72	217	0.00	False
8	-90.2	27	72	0.00	False
9	-83.4	30	63	0.00	False
10	-182.8	56	155	0.00	False
11	-17.0	5	15	0.00	False
12	-304.6	97	275	0.00	False
13	-61.6	23	49	0.00	False
14	1660.4	106	310	0.25	False
15	-614.8	203	548	0.00	False
16	-189.0	79	156	0.00	False
17	-2645.2	984	2310	0.00	False
18	-1027.4	352	931	0.00	False
19	-211.8	87	154	0.00	False
20	-151.2	62	127	0.00	False
21	-630.8	271	500	0.00	False
22	-2215.8	693	2073	0.00	False
23	-362.4	117	336	0.00	False
24	-2932.6	956	2696	0.00	False
25	-1558.8	630	1316	0.00	False
26	-881.6	302	800	0.00	False
27	-1368.8	537	1169	0.00	False
28	-3016.4	1000	2763	0.00	True
29	-664.4	254	574	0.00	False
30	-1008.4	393	850	0.00	False
31	-2154.4	1000	1683	0.00	True
32	-3199.4	1000	2993	0.00	True
33	-1920.6	606	1791	0.00	False
34	-2373.4	1000	1958	0.00	True
35	-1127.8	378	1028	0.00	False
36	-2293.6	1000	1772	0.00	True
37	-2875.4	1000	2578	0.00	True
38	-3187.6	1000	2972	0.00	True
39	-1781.8	633	1448	0.00	False
40	-2311.2	741	2053	0.00	False
41	-2767.4	817	2136	0.00	False
42	-3035.2	1000	2659	0.00	True
43	-345.4	140	278	0.00	False
44	-803.8	357	619	0.00	False
45	-2142.4	848	1685	0.00	False
46	-2372.6	1000	1932	0.00	True
47	-1604.2	1000	984	0.00	True
48	-2232.8	1000	1771	0.00	True
49	-2179.4	1000	1703	0.00	True
50	-2143.4	1000	1658	0.00	True
