Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-66.8	19	52	0.00	False
2	-13.0	4	11	0.00	False
3	-9.6	3	9	0.00	False
4	-13.8	5	11	0.00	False
5	-140.0	40	110	0.00	False
6	-34.2	10	29	0.00	False
7	-7.2	2	7	0.00	False
8	-8.0	3	7	0.00	False
9	-17.6	6	16	0.00	False
10	1372.6	182	545	0.25	False
11	-62.8	26	40	0.00	False
12	-32.8	14	22	0.00	False
13	-272.0	91	224	0.00	False
14	-58.4	20	43	0.00	False
15	-38.6	16	31	0.00	False
16	-119.2	46	83	0.00	False
17	-121.4	44	99	0.00	False
18	207735.2	120	222	0.25	False
19	-465.6	197	305	0.00	False
20	-357.2	139	290	0.00	False
21	-3075.0	1000	2800	0.00	True
22	-98.4	33	70	0.00	False
23	-2428.2	794	2075	0.00	False
24	-463.6	176	336	0.00	False
25	-178.6	79	108	0.00	False
26	-376.4	173	260	0.00	False
27	-894.8	286	815	0.00	False
28	-1939.8	612	1799	0.00	False
29	-3027.8	1000	2761	0.00	True
30	-537.4	220	428	0.00	False
31	-1282.2	430	1149	0.00	False
32	-350.8	108	298	0.00	False
33	-373.4	120	303	0.00	False
34	-225.0	96	154	0.00	False
35	-1933.4	629	1694	0.00	False
36	87863.4	56	112	0.25	False
37	-444.2	161	343	0.00	False
38	-2778.6	875	2557	0.00	False
39	-3287.6	1000	2812	0.00	True
40	421225.0	338	656	0.50	False
41	-251.4	83	190	0.00	False
42	-84.8	27	49	0.00	False
43	-1055.4	330	793	0.00	False
44	-487.4	201	352	0.00	False
45	-422.4	171	332	0.00	False
46	-332.4	110	253	0.00	False
47	-1279.0	429	1101	0.00	False
48	-505.8	162	429	0.00	False
49	-871.2	285	769	0.00	False
50	-183.4	62	131	0.00	False
