Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-1232.6	41	121	0.00	False
2	-175.0	8	17	0.00	False
3	-1011.4	33	100	0.00	False
4	-265.8	10	26	0.00	False
5	-204.4	8	20	0.00	False
6	-83.6	4	8	0.00	False
7	-60.4	2	6	0.00	False
8	-70.2	2	7	0.00	False
9	-450.0	16	44	0.00	False
10	-103.2	4	10	0.00	False
11	-223.0	8	22	0.00	False
12	-915.4	33	90	0.00	False
13	-253.2	9	25	0.00	False
14	-212.2	8	21	0.00	False
15	-142.2	5	14	0.00	False
16	-548.4	19	54	0.00	False
17	-932.2	32	92	0.00	False
18	-1524.2	65	149	0.00	False
19	-2885.6	141	281	0.00	False
20	-16014.6	565	1587	0.00	False
21	-24663.0	1000	2435	0.00	True
22	-27048.4	1000	2678	0.00	True
23	-8402.4	382	826	0.00	False
24	-20188.2	723	2001	0.00	False
25	-11586.8	407	1149	0.00	False
26	-20280.8	862	1999	0.00	False
27	-27182.6	989	2693	0.00	False
28	-11365.8	546	1115	0.00	False
29	-9593.4	353	950	0.00	False
30	-29733.6	1000	2952	0.00	True
31	-29401.4	1000	2918	0.00	True
32	-20351.0	690	2020	0.00	False
33	-18806.6	782	1855	0.00	False
34	-5116.2	258	501	0.00	False
35	-15153.2	1000	1464	0.00	True
36	-1824.6	88	179	0.00	False
37	-8263.8	504	802	0.00	False
38	-12656.8	708	1233	0.00	False
39	-4719.6	262	460	0.00	False
