Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-16.8	5	16	0.00	False
2	-34.6	11	26	0.00	False
3	-118.6	36	101	0.00	False
4	-83.6	26	61	0.00	False
5	-14.4	4	14	0.00	False
6	-88.6	25	77	0.00	False
7	-27.8	8	23	0.00	False
8	-26.0	8	22	0.00	False
9	-94.8	27	79	0.00	False
10	-29.4	8	25	0.00	False
11	-26.4	8	25	0.00	False
12	-59.8	18	48	0.00	False
13	-30.4	9	24	0.00	False
14	-11.2	3	11	0.00	False
15	-13.8	4	12	0.00	False
16	-19.2	6	18	0.00	False
17	-13.8	4	12	0.00	False
18	-30.2	9	25	0.00	False
19	-17.8	6	15	0.00	False
20	-80.2	24	65	0.00	False
21	-47.4	14	39	0.00	False
22	-25.2	7	22	0.00	False
23	-13.6	4	13	0.00	False
24	-11.2	3	11	0.00	False
25	-62.6	20	47	0.00	False
26	-22.6	7	20	0.00	False
27	-51.6	16	41	0.00	False
28	-85.6	26	71	0.00	False
29	-18.6	6	16	0.00	False
30	-30.6	9	28	0.00	False
31	-18.6	6	16	0.00	False
32	-28.4	10	18	0.00	False
33	-19.2	6	18	0.00	False
34	-16.8	5	16	0.00	False
35	-20.2	6	18	0.00	False
36	-42.6	12	35	0.00	False
37	-22.6	7	20	0.00	False
38	-13.0	4	11	0.00	False
39	-8.0	2	8	0.00	False
40	-90.2	26	78	0.00	False
41	-56.6	19	38	0.00	False
42	-30.0	9	26	0.00	False
43	-9.6	3	9	0.00	False
44	-30.8	10	21	0.00	False
45	-59.2	18	51	0.00	False
46	-22.8	7	19	0.00	False
47	-20.2	6	18	0.00	False
48	-64.2	18	56	0.00	False
49	-54.2	18	41	0.00	False
50	-12.8	4	12	0.00	False
51	-21.0	6	19	0.00	False
52	-30.6	9	28	0.00	False
53	-33.4	11	27	0.00	False
54	-25.6	8	24	0.00	False
55	-68.0	20	60	0.00	False
56	-250.2	73	211	0.00	False
57	-17.8	6	15	0.00	False
58	-10.4	3	10	0.00	False
59	-41.6	14	28	0.00	False
60	-46.4	14	39	0.00	False
61	-16.2	5	14	0.00	False
62	-26.0	8	22	0.00	False
63	-15.2	5	14	0.00	False
64	-36.2	12	27	0.00	False
65	-15.2	6	13	0.00	False
66	-102.0	33	77	0.00	False
67	-62.6	19	53	0.00	False
68	-60.4	17	51	0.00	False
69	-97.2	28	86	0.00	False
70	-70.6	22	50	0.00	False
71	-13.8	4	12	0.00	False
72	25884.0	46	61	0.25	False
73	-76.0	21	64	0.00	False
74	3919.8	25	72	0.25	False
75	3764.6	69	202	0.25	False
76	-63.2	18	56	0.00	False
77	-85.4	26	67	0.00	False
78	-33.4	10	28	0.00	False
79	-28.2	8	26	0.00	False
80	-38.0	13	32	0.00	False
81	-23.4	8	20	0.00	False
82	-33.4	11	27	0.00	False
83	-22.4	7	21	0.00	False
84	-123.6	35	107	0.00	False
85	-176.8	51	150	0.00	False
86	-14.4	4	14	0.00	False
87	-25.2	8	21	0.00	False
88	-21.6	7	20	0.00	False
89	-29.2	9	25	0.00	False
90	-105.4	31	87	0.00	False
91	-9.6	3	9	0.00	False
92	3879.4	40	90	0.25	False
93	-47.4	14	39	0.00	False
94	-12.0	4	11	0.00	False
95	-8.0	2	8	0.00	False
96	3635.6	106	305	0.25	False
97	-61.4	19	49	0.00	False
98	-11.2	3	11	0.00	False
99	3808.0	57	166	0.25	False
100	-85.2	25	74	0.00	False
101	-47.2	13	41	0.00	False
102	-38.8	11	35	0.00	False
103	-94.8	27	79	0.00	False
104	-37.2	11	33	0.00	False
105	-28.4	8	25	0.00	False
106	-336.6	96	286	0.00	False
107	-85.4	26	77	0.00	False
108	-21.8	8	18	0.00	False
109	-44.8	15	36	0.00	False
110	-147.8	44	132	0.00	False
111	-50.4	16	37	0.00	False
112	-66.2	19	55	0.00	False
113	-98.6	30	87	0.00	False
114	-16.0	5	15	0.00	False
115	-447.6	129	383	0.00	False
116	-24.2	7	22	0.00	False
117	-48.2	15	39	0.00	False
118	-660.8	187	559	0.00	False
119	-15.4	5	13	0.00	False
120	-255.2	74	215	0.00	False
121	-24.2	7	22	0.00	False
122	-156.0	45	135	0.00	False
123	-29.8	10	26	0.00	False
124	3717.8	90	217	0.25	False
125	-102.8	33	78	0.00	False
126	-96.6	29	73	0.00	False
127	-16.0	5	15	0.00	False
128	-30.4	9	29	0.00	False
129	-335.6	98	279	0.00	False
130	-21.2	6	18	0.00	False
131	-21.2	7	17	0.00	False
132	-18.6	5	17	0.00	False
