Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-8.0	2	8	0.00	False
2	-20.2	6	18	0.00	False
3	-61.0	18	52	0.00	False
4	-35.0	10	30	0.00	False
5	-34.2	10	29	0.00	False
6	-20.2	6	18	0.00	False
7	-10.4	3	10	0.00	False
8	-26.8	8	23	0.00	False
9	-29.2	8	26	0.00	False
10	-31.8	11	25	0.00	False
11	-35.6	10	32	0.00	False
12	-223.6	66	171	0.00	False
13	-94.0	27	83	0.00	False
14	-14.6	4	13	0.00	False
15	-63.2	19	45	0.00	False
16	-46.4	13	40	0.00	False
17	-27.6	8	24	0.00	False
18	-39.8	11	35	0.00	False
19	-24.4	7	21	0.00	False
20	-8.0	2	8	0.00	False
21	-28.4	8	25	0.00	False
22	-14.4	4	14	0.00	False
23	-61.4	19	49	0.00	False
24	-36.2	11	28	0.00	False
25	-317.0	90	265	0.00	False
26	-60.4	17	51	0.00	False
27	-45.4	14	39	0.00	False
28	-110.2	32	92	0.00	False
29	-30.8	9	27	0.00	False
30	-16.8	5	16	0.00	False
31	-119.8	35	106	0.00	False
32	-16.4	6	12	0.00	False
33	-18.6	5	17	0.00	False
34	-13.6	4	13	0.00	False
35	3669.6	97	279	0.25	False
36	-11.4	4	9	0.00	False
37	-13.8	4	12	0.00	False
38	-43.6	13	34	0.00	False
39	-381.6	107	315	0.00	False
40	-118.6	34	103	0.00	False
41	-73.6	21	61	0.00	False
42	-17.8	5	16	0.00	False
43	-42.4	14	34	0.00	False
44	-59.8	18	53	0.00	False
45	-22.4	7	21	0.00	False
46	-18.6	5	17	0.00	False
47	-321.0	94	256	0.00	False
48	-58.6	17	50	0.00	False
49	3815.8	55	157	0.25	False
50	-59.0	20	45	0.00	False
51	-26.0	7	23	0.00	False
52	-297.2	88	241	0.00	False
53	-71.6	20	62	0.00	False
54	-12.0	4	11	0.00	False
55	3766.8	74	168	0.25	False
56	-51.6	18	39	0.00	False
57	-277.2	79	235	0.00	False
58	-17.8	5	16	0.00	False
59	-159.6	46	136	0.00	False
60	-16.0	5	15	0.00	False
61	-8.0	2	8	0.00	False
62	-103.2	34	65	0.00	False
63	-24.6	8	19	0.00	False
64	-20.2	6	18	0.00	False
65	-71.2	22	57	0.00	False
66	-122.0	46	69	0.00	False
67	-108.8	32	94	0.00	False
68	-53.8	17	39	0.00	False
69	-10.4	3	10	0.00	False
70	-10.4	3	10	0.00	False
71	55811.6	75	105	0.25	False
72	-205.2	59	170	0.00	False
73	-123.4	35	103	0.00	False
74	-12.8	4	12	0.00	False
75	-14.6	4	13	0.00	False
76	-725.0	206	604	0.00	False
77	-54.0	16	44	0.00	False
78	-218.0	71	164	0.00	False
79	-217.0	61	184	0.00	False
80	-115.0	32	98	0.00	False
81	-11.2	3	11	0.00	False
82	-56.0	17	48	0.00	False
83	-11.2	3	11	0.00	False
84	-387.4	108	325	0.00	False
85	-31.6	10	22	0.00	False
86	-362.6	104	308	0.00	False
87	-173.0	49	146	0.00	False
88	-51.4	16	42	0.00	False
89	3789.6	68	163	0.25	False
90	-54.8	18	38	0.00	False
91	-8.0	2	8	0.00	False
92	-37.6	11	31	0.00	False
93	-11.2	4	10	0.00	False
94	-158.4	49	124	0.00	False
95	-18.6	5	17	0.00	False
96	-48.0	16	39	0.00	False
97	-38.2	11	28	0.00	False
98	-195.8	58	173	0.00	False
99	-27.6	8	24	0.00	False
100	-56.0	17	43	0.00	False
101	-21.8	6	20	0.00	False
102	-344.8	101	280	0.00	False
103	-65.6	20	57	0.00	False
104	-42.4	13	35	0.00	False
105	3740.6	81	205	0.25	False
106	-55.2	17	47	0.00	False
107	-106.2	31	93	0.00	False
108	-83.6	24	73	0.00	False
109	-49.8	15	41	0.00	False
110	-21.6	7	20	0.00	False
111	-296.2	84	250	0.00	False
112	-95.8	28	78	0.00	False
113	-93.8	27	79	0.00	False
114	-33.0	10	30	0.00	False
115	-155.4	49	114	0.00	False
116	-674.4	194	554	0.00	False
117	-67.6	22	50	0.00	False
118	-52.6	17	40	0.00	False
119	-831.6	235	707	0.00	False
120	-58.4	17	46	0.00	False
121	-99.2	29	85	0.00	False
122	-414.6	119	348	0.00	False
123	-1093.0	311	929	0.00	False
124	-44.0	15	30	0.00	False
125	-382.2	109	325	0.00	False
126	-11.2	3	11	0.00	False
127	-248.2	71	213	0.00	False
128	-22.0	6	19	0.00	False
129	-45.4	13	40	0.00	False
130	-14.8	4	12	0.00	False
131	-21.8	6	20	0.00	False
132	3303.6	202	579	0.25	False
133	-136.8	49	92	0.00	False
134	-27.4	8	25	0.00	False
135	-26.0	8	22	0.00	False
136	-50.0	15	40	0.00	False
137	-20.6	6	16	0.00	False
138	-9.6	3	9	0.00	False
139	-112.4	33	90	0.00	False
140	-18.8	6	15	0.00	False
141	-14.6	4	13	0.00	False
142	-16.2	5	14	0.00	False
143	-57.2	17	47	0.00	False
144	3755.8	72	210	0.25	False
145	-11.2	3	11	0.00	False
146	-32.4	9	29	0.00	False
147	-140.8	41	125	0.00	False
148	-32.0	11	24	0.00	False
149	-8.0	2	8	0.00	False
150	-21.0	6	19	0.00	False
151	-70.8	21	60	0.00	False
152	-31.0	10	25	0.00	False
153	-180.0	51	154	0.00	False
154	-227.4	73	175	0.00	False
155	-852.8	247	719	0.00	False
156	-66.8	19	57	0.00	False
157	-60.2	18	51	0.00	False
158	-67.4	19	59	0.00	False
159	-56.2	17	47	0.00	False
160	-43.2	15	34	0.00	False
161	-527.6	162	405	0.00	False
162	-59.0	17	53	0.00	False
163	-17.2	5	14	0.00	False
