episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1449.7,11,29,0.00,0,13.61,0.997
2,-1046.7,7,21,0.00,0,13.33,0.994
3,-2400.1,16,48,0.00,0,13.64,0.991
4,-3902.6,28,78,0.00,0,13.73,0.988
5,-2342.7,15,47,0.00,0,12.76,0.985
6,-1248.1,8,25,0.00,0,13.51,0.982
7,-1547.7,10,31,0.00,0,13.44,0.979
8,-447.6,3,9,0.00,0,13.50,0.976
9,-550.1,3,11,0.00,0,13.83,0.973
10,-1996.9,15,40,0.00,0,13.20,0.970
11,-848.5,5,17,0.00,0,13.61,0.967
12,-15800.5,109,316,0.00,0,14.21,0.965
13,-650.3,4,13,0.00,0,13.83,0.962
14,-2049.0,14,41,0.00,0,13.52,0.959
15,-3248.1,22,65,0.00,0,13.30,0.956
16,-9102.2,60,182,0.00,0,13.38,0.953
17,-2750.3,18,55,0.00,0,13.65,0.950
18,-800.4,5,16,0.00,0,13.83,0.947
19,-19707.0,134,394,0.00,0,13.17,0.945
20,-498.8,3,10,0.00,0,13.66,0.942
21,-1498.3,10,30,0.00,0,13.50,0.939
22,-2797.9,19,56,0.00,0,13.31,0.936
23,-7697.6,61,154,0.00,0,12.41,0.933
24,-3296.4,24,66,0.00,0,13.00,0.930
25,-9891.0,73,198,0.00,0,11.53,0.928
26,-2604.9,46,133,0.25,0,11.18,0.925
27,-5551.0,40,111,0.00,0,13.35,0.922
28,-1000.0,7,20,0.00,0,13.73,0.919
29,-1250.7,8,25,0.00,0,13.83,0.917
30,-4192.4,30,84,0.00,0,12.43,0.914
31,-997.6,7,20,0.00,0,13.44,0.911
32,-4744.2,34,95,0.00,0,12.60,0.908
33,-4647.2,31,93,0.00,0,13.10,0.906
34,-2885.5,21,58,0.00,0,11.70,0.903
35,-548.8,3,11,0.00,0,13.67,0.900
36,-10612.6,75,213,0.00,0,10.32,0.897
37,-12832.9,85,257,0.00,0,10.66,0.895
38,-15885.8,135,400,0.25,0,10.08,0.892
39,-2900.4,22,58,0.00,0,13.51,0.889
40,-24629.9,167,493,0.00,0,9.63,0.887
41,-698.0,5,14,0.00,0,13.51,0.884
42,-2593.0,17,52,0.00,0,12.75,0.881
43,-890.5,7,18,0.00,0,12.52,0.879
44,-3347.5,22,67,0.00,0,13.26,0.876
45,-1201.2,9,24,0.00,0,13.83,0.874
46,-2641.9,20,53,0.00,0,12.49,0.871
47,-5393.0,66,189,0.25,0,9.69,0.868
48,-1144.6,9,23,0.00,0,13.00,0.866
49,-2016.7,43,121,0.25,0,10.44,0.863
50,-10375.9,71,208,0.00,0,10.81,0.861
51,-1995.0,17,40,0.00,0,12.85,0.858
52,-1449.3,41,110,0.25,0,10.08,0.855
53,-5642.6,41,113,0.00,0,12.89,0.853
54,-11830.4,79,237,0.00,0,12.90,0.850
55,-548.7,3,11,0.00,0,13.65,0.848
56,-8298.0,56,166,0.00,0,12.86,0.845
57,-796.0,7,16,0.00,0,13.18,0.843
58,-848.9,5,17,0.00,0,13.65,0.840
