Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-575.6	21	56	0.00	False
2	-132.2	6	13	0.00	False
3	-132.4	5	13	0.00	False
4	-550.4	19	54	0.00	False
5	-247.2	10	24	0.00	False
6	-164.4	7	16	0.00	False
7	-182.2	6	18	0.00	False
8	-113.0	4	11	0.00	False
9	-300.6	13	29	0.00	False
10	-1484.8	50	146	0.00	False
11	-1340.4	46	132	0.00	False
12	-895.6	34	88	0.00	False
13	-195.0	11	19	0.00	False
14	-267.6	16	26	0.00	False
15	-354.2	14	35	0.00	False
16	-299.2	15	29	0.00	False
17	-696.4	30	68	0.00	False
18	-245.6	13	24	0.00	False
