episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1148.7,7,23,0.00,0,13.61,0.997
2,-598.6,4,12,0.00,0,13.61,0.994
3,-2583.7,19,52,0.00,0,11.49,0.991
4,-799.0,5,16,0.00,0,13.65,0.988
5,-7225.3,49,145,0.00,0,12.04,0.985
6,-1795.2,15,36,0.00,0,12.93,0.982
7,-1900.2,12,38,0.00,0,13.73,0.979
8,-1194.2,9,24,0.00,0,12.96,0.976
9,-2150.7,16,43,0.00,0,13.65,0.973
10,-449.0,3,9,0.00,0,13.67,0.970
11,-22211.2,156,444,0.00,0,12.98,0.967
12,-997.1,8,20,0.00,0,13.32,0.965
13,-1698.6,12,34,0.00,0,13.48,0.962
14,-848.9,5,17,0.00,0,13.66,0.959
15,-497.8,4,10,0.00,0,13.48,0.956
16,-748.7,5,15,0.00,0,13.61,0.953
17,-2149.1,14,43,0.00,0,13.55,0.950
18,-600.4,4,12,0.00,0,13.83,0.947
19,-550.1,3,11,0.00,0,13.83,0.945
20,-550.1,3,11,0.00,0,13.83,0.942
21,-31589.4,210,632,0.00,0,11.23,0.939
22,-893.7,7,18,0.00,0,12.92,0.936
23,-648.2,4,13,0.00,0,13.56,0.933
24,-37218.5,252,746,0.00,0,11.80,0.930
25,-1397.7,10,28,0.00,0,13.39,0.928
26,-597.8,4,12,0.00,0,13.51,0.925
27,-1398.9,10,28,0.00,0,13.54,0.922
28,-645.8,5,13,0.00,0,13.22,0.919
29,-1999.3,18,40,0.00,0,13.34,0.917
30,-698.8,4,14,0.00,0,13.65,0.914
31,-998.3,6,20,0.00,0,13.57,0.911
32,-745.3,5,15,0.00,0,13.18,0.908
33,-14795.2,111,296,0.00,0,11.38,0.906
34,-1838.5,14,37,0.00,0,12.16,0.903
35,-1146.8,7,23,0.00,0,13.37,0.900
36,-497.4,3,10,0.00,0,13.48,0.897
37,-695.3,5,14,0.00,0,13.17,0.895
38,-9440.9,65,190,0.00,0,10.46,0.892
39,-1597.3,10,32,0.00,0,13.39,0.889
40,-11944.2,95,240,0.00,0,11.40,0.887
41,-400.0,2,8,0.00,0,13.83,0.884
42,-1447.1,9,29,0.00,0,13.38,0.881
43,-5037.2,38,101,0.00,0,11.60,0.879
44,-697.9,6,14,0.00,0,13.44,0.876
45,-4300.2,29,86,0.00,0,13.48,0.874
46,-2246.3,15,45,0.00,0,13.18,0.871
47,-1951.7,14,39,0.00,0,13.83,0.868
48,-7638.7,52,153,0.00,0,12.02,0.866
49,-1839.9,12,37,0.00,0,12.43,0.863
50,-898.8,6,18,0.00,0,13.61,0.861
51,-1600.8,10,32,0.00,0,13.83,0.858
52,-542.7,4,11,0.00,0,12.86,0.855
53,-996.3,9,20,0.00,0,13.17,0.853
54,-11077.2,75,222,0.00,0,10.53,0.850
55,-697.4,5,14,0.00,0,13.44,0.848
56,-1649.5,12,33,0.00,0,13.59,0.845
57,-10669.6,128,296,0.25,0,8.11,0.843
58,-2037.4,19,41,0.00,0,11.82,0.840
59,-1098.8,7,22,0.00,0,13.61,0.838
60,-799.6,5,16,0.00,0,13.73,0.835
61,-12030.4,89,241,0.00,0,10.22,0.833
62,-2047.7,15,41,0.00,0,13.31,0.830
63,-4346.2,29,87,0.00,0,12.99,0.828
64,-4904.7,60,179,0.25,0,10.48,0.825
65,-2298.6,19,46,0.00,0,13.28,0.823
66,-2390.0,17,48,0.00,0,12.33,0.820
67,-7515.8,52,151,0.00,0,10.27,0.818
68,-13694.3,122,355,0.25,0,9.08,0.815
69,-3097.2,20,62,0.00,0,13.26,0.813
70,-15019.2,108,301,0.00,0,9.60,0.810
71,-1899.4,15,38,0.00,0,13.48,0.808
72,-1296.7,11,26,0.00,0,13.19,0.805
73,-1192.4,11,24,0.00,0,12.63,0.803
74,-497.1,3,10,0.00,0,13.44,0.801
75,-2847.3,19,57,0.00,0,13.26,0.798
76,11129.4,30,58,0.25,0,10.30,0.796
77,-498.4,3,10,0.00,0,13.61,0.793
78,-1197.5,41,105,0.25,0,8.84,0.791
79,-2542.5,26,51,0.00,0,12.23,0.789
80,19137.9,152,261,0.50,0,4.48,0.786
81,-543.8,4,11,0.00,0,12.99,0.784
82,-22384.7,179,530,0.25,0,9.41,0.782
83,-12923.3,119,341,0.25,0,10.12,0.779
84,-11408.7,82,229,0.00,0,9.53,0.777
85,-4276.8,33,86,0.00,0,10.35,0.775
86,-8123.1,57,163,0.00,0,9.70,0.772
87,-850.3,5,17,0.00,0,13.83,0.770
88,46904.7,51,103,0.25,0,8.09,0.768
89,260692.5,174,348,0.50,0,6.05,0.765
90,-18545.4,152,453,0.25,0,8.96,0.763
91,-6699.7,75,215,0.25,0,10.75,0.761
92,-746.8,8,15,0.00,0,13.21,0.758
93,-2532.7,18,51,0.00,0,11.40,0.756
94,-7686.7,51,154,0.00,0,11.83,0.754
95,-549.3,3,11,0.00,0,13.73,0.752
96,-697.8,5,14,0.00,0,13.48,0.749
97,-1542.1,12,31,0.00,0,12.63,0.747
98,-6582.4,83,213,0.25,0,7.94,0.745
99,-13484.6,98,271,0.00,0,9.51,0.743
100,-2194.4,18,44,0.00,0,12.79,0.740
