Episode	TotalReward	Steps	Collisions	SuccessRate	Timeout
1	-99.2	30	79	0.00	False
2	-36.4	12	31	0.00	False
3	-42.6	15	27	0.00	False
4	-14.0	4	11	0.00	False
5	-19.2	6	18	0.00	False
6	1837.6	47	140	0.25	False
7	-17.6	6	11	0.00	False
8	-18.6	6	16	0.00	False
9	-9.6	4	8	0.00	False
10	-74.4	21	62	0.00	False
11	-59.0	18	47	0.00	False
12	-100.2	31	78	0.00	False
13	-114.0	35	85	0.00	False
14	-120.0	44	81	0.00	False
15	-83.2	26	53	0.00	False
16	-75.4	24	49	0.00	False
17	-66.2	22	47	0.00	False
18	-83.6	27	60	0.00	False
19	-3187.0	1000	2930	0.00	True
20	517817.4	1000	1772	0.25	True
21	-2605.8	1000	2221	0.00	True
22	-2821.4	1000	2508	0.00	True
23	-3140.8	1000	2906	0.00	True
24	-1527.8	511	1360	0.00	False
25	-2386.2	1000	1954	0.00	True
26	-3177.4	1000	2948	0.00	True
27	-3121.6	1000	2892	0.00	True
28	-2700.0	1000	2345	0.00	True
29	-2382.6	1000	1917	0.00	True
30	-2356.6	1000	1937	0.00	True
31	-2389.8	1000	1966	0.00	True
32	-2912.6	1000	2617	0.00	True
33	-2305.0	1000	1870	0.00	True
34	-2395.2	1000	1979	0.00	True
35	508.0	493	1361	0.25	False
36	-892.4	317	746	0.00	False
37	-836.4	290	733	0.00	False
38	-3191.4	1000	2958	0.00	True
39	-196.4	65	138	0.00	False
40	-3530.4	1000	2773	0.00	True
41	-55.6	20	42	0.00	False
42	-2898.0	832	2343	0.00	False
43	1973940.0	1000	1522	0.25	True
44	-1086.4	364	829	0.00	False
45	-2322.4	737	2146	0.00	False
46	-2567.6	1000	2192	0.00	True
47	-319.6	106	281	0.00	False
48	-3017.2	1000	2754	0.00	True
49	-2975.6	1000	2702	0.00	True
50	-2136.0	795	1845	0.00	False
