episode,total_reward,steps,collisions,success_rate,timeout,avg_distance,epsilon
1,-1591.6,11,32,0.00,0,12.63,0.997
2,-3550.7,23,71,0.00,0,13.66,0.994
3,-2850.9,20,57,0.00,0,13.66,0.991
4,-7952.2,54,159,0.00,0,13.39,0.988
5,-749.2,5,15,0.00,0,13.67,0.985
6,-850.3,5,17,0.00,0,13.83,0.982
7,-11756.3,78,235,0.00,0,13.65,0.979
8,-849.0,5,17,0.00,0,13.67,0.976
9,-5898.1,39,118,0.00,0,13.12,0.973
10,-1096.3,7,22,0.00,0,13.30,0.970
11,-749.7,5,15,0.00,0,13.73,0.967
12,-2644.0,17,53,0.00,0,12.89,0.965
13,-4195.3,29,84,0.00,0,12.84,0.962
14,-1638.5,20,33,0.00,0,11.81,0.959
15,-1894.9,14,38,0.00,0,12.97,0.956
16,-549.3,3,11,0.00,0,13.73,0.953
17,-2949.3,20,59,0.00,0,13.48,0.950
18,-1694.0,14,34,0.00,0,12.80,0.947
19,-5193.4,35,104,0.00,0,12.56,0.945
20,-1749.9,12,35,0.00,0,13.66,0.942
21,-1998.4,15,40,0.00,0,13.38,0.939
22,-1595.5,17,32,0.00,0,12.81,0.936
23,-1398.7,9,28,0.00,0,13.57,0.933
24,-1692.2,11,34,0.00,0,12.73,0.930
25,-848.9,5,17,0.00,0,13.66,0.928
26,-1797.6,14,36,0.00,0,13.28,0.925
27,-13686.6,92,274,0.00,0,11.44,0.922
28,-3148.3,21,63,0.00,0,13.36,0.919
29,-799.0,5,16,0.00,0,13.66,0.917
30,-5698.5,40,114,0.00,0,13.07,0.914
31,-2496.2,16,50,0.00,0,13.18,0.911
32,-1247.3,11,25,0.00,0,13.26,0.908
33,-2398.4,17,48,0.00,0,13.38,0.906
34,-4546.6,31,91,0.00,0,12.99,0.903
35,-1091.4,10,22,0.00,0,12.53,0.900
36,-2590.7,21,52,0.00,0,12.27,0.897
37,-4692.4,31,94,0.00,0,12.50,0.895
38,-7262.9,49,146,0.00,0,11.86,0.892
39,-4098.2,28,82,0.00,0,13.23,0.889
40,-4240.5,31,85,0.00,0,12.15,0.887
41,-400.0,2,8,0.00,0,13.83,0.884
42,-498.8,3,10,0.00,0,13.66,0.881
43,-6648.9,73,214,0.25,0,10.69,0.879
44,-1645.8,12,33,0.00,0,13.12,0.876
45,-1148.7,7,23,0.00,0,13.61,0.874
46,-2196.3,15,44,0.00,0,13.16,0.871
47,-549.3,3,11,0.00,0,13.73,0.868
48,-848.6,6,17,0.00,0,13.57,0.866
49,-2148.1,15,43,0.00,0,13.38,0.863
50,-1750.9,11,35,0.00,0,13.83,0.861
51,-1744.4,15,35,0.00,0,12.82,0.858
52,-9535.9,65,191,0.00,0,11.21,0.855
53,-3718.5,52,155,0.25,0,10.31,0.853
54,-1694.4,12,34,0.00,0,12.96,0.850
55,-9418.3,75,189,0.00,0,11.90,0.848
56,-497.0,3,10,0.00,0,13.44,0.845
57,18331.4,37,74,0.25,0,9.94,0.843
58,-892.4,6,18,0.00,0,12.81,0.840
59,-700.2,4,14,0.00,0,13.83,0.838
60,-1046.1,8,21,0.00,0,13.21,0.835
61,-548.4,4,11,0.00,0,13.56,0.833
62,-7942.3,56,159,0.00,0,12.05,0.830
63,-1818.3,43,117,0.25,0,11.26,0.828
64,-2249.8,16,45,0.00,0,13.56,0.825
65,-696.7,4,14,0.00,0,13.39,0.823
66,-596.8,4,12,0.00,0,13.38,0.820
67,-3797.6,26,76,0.00,0,13.18,0.818
68,-4075.1,39,82,0.00,0,9.80,0.815
69,-7881.1,82,239,0.25,0,11.25,0.813
70,-499.4,3,10,0.00,0,13.73,0.810
71,-7579.6,50,152,0.00,0,10.68,0.808
72,-5281.3,66,187,0.25,0,9.81,0.805
73,-15885.1,140,399,0.25,0,8.86,0.803
74,-2197.5,16,44,0.00,0,13.27,0.801
75,-699.3,5,14,0.00,0,13.67,0.798
76,-702.8,46,95,0.25,0,9.37,0.796
77,-1812.4,46,117,0.25,0,9.68,0.793
78,-2345.8,18,47,0.00,0,13.00,0.791
79,-1347.7,9,27,0.00,0,13.44,0.789
80,-6484.2,77,131,0.00,0,6.68,0.786
81,-2034.6,15,41,0.00,0,11.67,0.784
82,-1196.8,8,24,0.00,0,13.33,0.782
83,25086.7,73,140,0.50,0,7.78,0.779
84,-1344.6,9,27,0.00,0,13.05,0.777
85,-2388.9,17,48,0.00,0,12.19,0.775
86,-1035.5,48,102,0.25,0,8.91,0.772
87,-4044.7,29,81,0.00,0,12.73,0.770
88,-1299.6,9,26,0.00,0,13.66,0.768
89,-2996.2,20,60,0.00,0,13.18,0.765
90,-9041.7,105,263,0.25,0,7.85,0.763
91,-4291.5,29,86,0.00,0,12.39,0.761
92,-991.0,7,20,0.00,0,12.61,0.758
93,1382.9,19,53,0.25,0,10.95,0.756
94,-2589.0,46,133,0.25,0,10.73,0.754
95,-6823.6,45,137,0.00,0,10.81,0.752
96,39485.4,53,92,0.50,0,7.56,0.749
97,-1702.4,41,115,0.25,0,10.46,0.747
98,-1042.7,9,21,0.00,0,12.73,0.745
99,-2104.7,42,123,0.25,0,11.18,0.743
100,-5137.1,64,184,0.25,0,10.25,0.740
101,-798.1,7,16,0.00,0,13.44,0.738
102,-10845.6,110,298,0.25,0,10.69,0.736
103,-1246.6,9,25,0.00,0,13.27,0.734
104,-9953.6,69,200,0.00,0,10.59,0.732
105,-1908.8,40,119,0.25,0,10.07,0.729
106,-6457.2,47,130,0.00,0,10.28,0.727
107,-747.8,5,15,0.00,0,13.50,0.725
108,-2146.0,50,124,0.25,0,8.62,0.723
109,-2927.7,57,140,0.25,0,9.90,0.721
110,-1442.7,11,29,0.00,0,12.73,0.719
111,-2440.0,16,49,0.00,0,12.39,0.716
112,-10111.7,68,203,0.00,0,11.61,0.714
113,-10228.0,98,286,0.25,0,8.86,0.712
114,-1694.6,12,34,0.00,0,12.99,0.710
115,-3494.4,23,70,0.00,0,12.85,0.708
116,-1494.5,10,30,0.00,0,13.01,0.706
117,-6037.4,54,122,0.00,0,6.91,0.704
118,-400.0,2,8,0.00,0,13.83,0.702
119,-1805.5,45,117,0.25,0,9.96,0.699
120,-647.1,4,13,0.00,0,13.44,0.697
121,-3445.9,23,69,0.00,0,13.04,0.695
122,-4945.2,61,180,0.25,0,9.41,0.693
123,-845.4,6,17,0.00,0,13.17,0.691
124,-3434.3,23,69,0.00,0,11.58,0.689
125,-1041.2,9,21,0.00,0,12.55,0.687
126,-640.9,6,13,0.00,0,12.56,0.685
127,-4203.3,57,165,0.25,0,8.86,0.683
128,-2444.8,17,49,0.00,0,12.94,0.681
129,-4139.9,27,83,0.00,0,12.26,0.679
130,-1833.0,17,37,0.00,0,11.32,0.677
131,-4971.3,62,181,0.25,0,10.91,0.675
132,108553.7,103,191,0.50,0,4.37,0.673
133,-2743.5,50,136,0.25,0,9.49,0.671
134,-2093.5,15,42,0.00,0,12.80,0.669
135,-2087.9,14,42,0.00,0,12.20,0.667
136,-1494.6,11,30,0.00,0,12.99,0.665
137,5389.0,65,94,0.50,0,5.16,0.663
138,-2556.3,46,132,0.25,0,10.08,0.661
139,179665.1,109,170,0.50,0,4.48,0.659
140,-5941.7,68,200,0.25,0,10.07,0.657
141,-3986.0,29,80,0.00,0,11.63,0.655
142,-743.4,5,15,0.00,0,12.95,0.653
143,-2486.9,18,50,0.00,0,11.92,0.651
144,-547.4,4,11,0.00,0,13.44,0.649
145,145.2,34,78,0.25,0,8.85,0.647
146,-2287.7,17,46,0.00,0,12.01,0.645
147,-3046.2,20,61,0.00,0,13.12,0.643
148,-695.5,6,14,0.00,0,13.14,0.641
149,-897.5,6,18,0.00,0,13.44,0.639
150,160074.7,100,200,0.50,0,6.93,0.637
151,-797.3,5,16,0.00,0,13.44,0.635
152,-3737.1,26,75,0.00,0,11.85,0.633
153,-1648.1,61,115,0.25,0,5.41,0.631
154,-4404.1,38,89,0.00,0,10.01,0.630
155,23615.9,53,90,0.50,0,4.26,0.628
156,-1358.2,41,108,0.25,0,9.84,0.626
157,-1188.7,9,24,0.00,0,12.27,0.624
158,-1436.4,12,29,0.00,0,11.90,0.622
159,-7500.5,60,151,0.00,0,8.91,0.620
160,33583.6,65,130,0.25,0,6.36,0.618
161,7048.1,48,61,0.50,0,3.89,0.616
162,40363.2,46,35,0.75,0,4.07,0.615
163,-1301.5,37,107,0.25,0,9.93,0.613
164,-6558.2,74,212,0.25,0,8.73,0.611
165,35730.6,48,87,0.25,0,6.10,0.609
166,97568.7,107,212,0.50,0,5.39,0.607
167,16203.3,63,118,0.50,0,4.43,0.605
168,-400.7,34,89,0.25,0,8.68,0.604
169,-1483.5,12,30,0.00,0,11.55,0.602
170,88266.0,79,156,0.50,0,6.83,0.600
171,287.5,27,75,0.25,0,10.04,0.598
172,-3022.2,24,61,0.00,0,10.12,0.596
